	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	7.271973519623279	7.475423716008663	-0.20345019638538453	True
1	google-bert/bert-base-multilingual-cased	2	7.5953433620433	9.237570080161095	-1.6422267181177954	True
2	google-bert/bert-base-multilingual-cased	3	7.152658716837566	7.664472835510969	-0.5118141186734029	True
3	google-bert/bert-base-multilingual-cased	4	7.811186676099896	8.31880247592926	-0.507615799829364	True
4	google-bert/bert-base-multilingual-cased	5	6.893288425753513	7.722498937696218	-0.8292105119427049	True
5	google-bert/bert-base-multilingual-cased	6	7.764254946261644	9.02220822374026	-1.2579532774786149	True
6	google-bert/bert-base-multilingual-cased	7	7.131063146640858	7.979678130646548	-0.8486149840056898	True
7	google-bert/bert-base-multilingual-cased	8	7.404792532324791	8.233976896976433	-0.8291843646516419	True
8	google-bert/bert-base-multilingual-cased	9	7.409354754835368	7.894042760133743	-0.4846880052983753	True
9	google-bert/bert-base-multilingual-cased	10	8.41869058072567	9.393544778029124	-0.9748541973034541	True
10	google-bert/bert-base-multilingual-cased	11	6.951865987380346	7.411575697362423	-0.45970970998207683	True
11	google-bert/bert-base-multilingual-cased	12	7.8058900362253185	8.66722324103117	-0.8613332048058515	True
12	google-bert/bert-base-multilingual-cased	13	7.252964191709955	7.925673273205757	-0.6727090814958023	True
13	google-bert/bert-base-multilingual-cased	14	8.381341374417147	9.38522742887338	-1.003886054456233	True
14	google-bert/bert-base-multilingual-cased	15	7.275622710088889	7.844383788605532	-0.5687610785166424	True
15	google-bert/bert-base-multilingual-cased	16	7.775288906445107	8.347926694899797	-0.5726377884546903	True
16	google-bert/bert-base-multilingual-cased	17	7.938391697714105	8.482029875181615	-0.5436381774675096	True
17	google-bert/bert-base-multilingual-cased	18	8.19688124085466	9.714016270264983	-1.5171350294103227	True
18	google-bert/bert-base-multilingual-cased	19	7.139095266163349	7.832782260701061	-0.6936869945377113	True
19	google-bert/bert-base-multilingual-cased	20	8.367934888787568	9.146587391570211	-0.7786525027826432	True
20	google-bert/bert-base-multilingual-cased	21	7.842597569357603	8.37041295003146	-0.5278153806738564	True
21	google-bert/bert-base-multilingual-cased	22	9.183615569770335	9.95215234210094	-0.768536772330604	True
22	google-bert/bert-base-multilingual-cased	23	8.117151114096243	8.676539012044667	-0.5593878979484241	True
23	google-bert/bert-base-multilingual-cased	24	8.265430976264179	8.995386498048902	-0.7299555217847224	True
24	google-bert/bert-base-multilingual-cased	25	6.859834769666195	7.40975258871913	-0.5499178190529346	True
25	google-bert/bert-base-multilingual-cased	26	7.6483092154065755	8.880508412917454	-1.2321991975108784	True
26	google-bert/bert-base-multilingual-cased	27	6.333770653332273	6.935572963654995	-0.6018023103227224	True
27	google-bert/bert-base-multilingual-cased	28	7.037879054769874	7.600751779302955	-0.5628727245330811	True
28	google-bert/bert-base-multilingual-cased	29	7.77799371495843	8.214613773922125	-0.4366200589636948	True
29	google-bert/bert-base-multilingual-cased	30	8.805853179842234	9.584959773222604	-0.7791065933803694	True
30	google-bert/bert-base-multilingual-cased	31	7.713578032453856	8.073658167322478	-0.360080134868622	True
31	google-bert/bert-base-multilingual-cased	32	8.173472653826078	8.66484217668573	-0.4913695228596513	True
32	google-bert/bert-base-multilingual-cased	33	7.414885786275069	8.34975362891952	-0.9348678426444517	True
33	google-bert/bert-base-multilingual-cased	34	8.774080051730076	9.469825722773871	-0.6957456710437953	True
34	google-bert/bert-base-multilingual-cased	35	7.728418911248445	8.307602735360465	-0.57918382411202	True
35	google-bert/bert-base-multilingual-cased	36	7.974174132198096	9.09593714301785	-1.1217630108197536	True
36	google-bert/bert-base-multilingual-cased	37	6.937664632815867	7.2987913630902765	-0.36112673027440945	True
37	google-bert/bert-base-multilingual-cased	38	7.574131121641645	8.933686154459915	-1.3595550328182702	True
38	google-bert/bert-base-multilingual-cased	39	6.810710876807571	7.498537672962994	-0.6878267961554227	True
39	google-bert/bert-base-multilingual-cased	40	7.423485284578055	7.907245752774179	-0.48376046819612384	True
40	google-bert/bert-base-multilingual-cased	41	7.331357650756836	7.205778008699417	0.1255796420574189	False
41	google-bert/bert-base-multilingual-cased	42	7.782455877959729	8.892610320448876	-1.1101544424891472	True
42	google-bert/bert-base-multilingual-cased	43	7.447804232438405	7.758525276184082	-0.31072104374567733	True
43	google-bert/bert-base-multilingual-cased	44	7.489633159339428	7.503115537762642	-0.013482378423213426	True
44	google-bert/bert-base-multilingual-cased	45	7.4372682853819185	7.945762194196382	-0.5084939088144633	True
45	google-bert/bert-base-multilingual-cased	46	8.432247998565435	9.291559531291325	-0.85931153272589	True
46	google-bert/bert-base-multilingual-cased	47	7.683278342460592	7.977739789088568	-0.29446144662797646	True
47	google-bert/bert-base-multilingual-cased	48	7.825152547533312	7.827375766883293	-0.0022232193499807096	True
48	google-bert/bert-base-multilingual-cased	49	7.660011348873377	8.037734240591526	-0.37772289171814855	True
49	google-bert/bert-base-multilingual-cased	50	8.753344126840432	9.581799653172492	-0.8284555263320605	True
50	google-bert/bert-base-multilingual-cased	51	7.3114045627911874	7.465477149486541	-0.15407258669535384	True
51	google-bert/bert-base-multilingual-cased	52	7.9898081551492215	8.179127271175386	-0.18931911602616402	True
52	google-bert/bert-base-multilingual-cased	53	7.63909710024794	8.043077614406744	-0.4039805141588042	True
53	google-bert/bert-base-multilingual-cased	54	8.863621902962525	9.499765739838281	-0.6361438368757568	True
54	google-bert/bert-base-multilingual-cased	55	7.924536732832591	7.878213483591876	0.04632324924071529	False
55	google-bert/bert-base-multilingual-cased	56	7.914262084042034	7.956173883378506	-0.04191179933647238	True
56	google-bert/bert-base-multilingual-cased	57	7.803092839196324	8.25488672181964	-0.4517938826233152	True
57	google-bert/bert-base-multilingual-cased	58	7.806502237543464	9.138632766529918	-1.332130528986454	True
58	google-bert/bert-base-multilingual-cased	59	7.059391371160745	7.220879795029759	-0.16148842386901396	True
59	google-bert/bert-base-multilingual-cased	60	7.937500010430813	7.875696370005608	0.0618036404252047	False
60	google-bert/bert-base-multilingual-cased	61	7.715838384479284	8.018590093404054	-0.3027517089247702	True
61	google-bert/bert-base-multilingual-cased	62	9.190971178313095	9.662381104628244	-0.47140992631514855	True
62	google-bert/bert-base-multilingual-cased	63	8.095066928615172	8.170097219198942	-0.07503029058377031	True
63	google-bert/bert-base-multilingual-cased	64	7.648305297270417	7.730105020105839	-0.08179972283542192	True
64	google-bert/bert-base-multilingual-cased	65	7.543791928887368	7.9638482500612735	-0.4200563211739059	True
65	google-bert/bert-base-multilingual-cased	66	8.448197760035594	9.650567356149356	-1.202369596113762	True
66	google-bert/bert-base-multilingual-cased	67	6.968602726856868	7.255998386591673	-0.2873956597348055	True
67	google-bert/bert-base-multilingual-cased	68	7.571141843050718	7.702566077262164	-0.13142423421144578	True
68	google-bert/bert-base-multilingual-cased	69	8.148598123987515	8.311701409022012	-0.1631032850344969	True
69	google-bert/bert-base-multilingual-cased	70	9.291245525330305	9.707629609107972	-0.41638408377766645	True
70	google-bert/bert-base-multilingual-cased	71	8.372605330745378	8.025413626929124	0.34719170381625375	False
71	google-bert/bert-base-multilingual-cased	72	8.24261329745253	8.188853124280772	0.053760173171758296	False
72	google-bert/bert-base-multilingual-cased	73	7.865320380317668	8.533571252723537	-0.6682508724058689	True
73	google-bert/bert-base-multilingual-cased	74	9.2527898127834	9.550751070181528	-0.2979612573981285	True
74	google-bert/bert-base-multilingual-cased	75	8.290063908696174	8.075784325102964	0.21427958359321053	False
75	google-bert/bert-base-multilingual-cased	76	8.221827160194517	8.248899736503759	-0.027072576309242535	True
76	google-bert/bert-base-multilingual-cased	77	7.294112746194005	7.5847126096487045	-0.2905998634546991	True
77	google-bert/bert-base-multilingual-cased	78	7.724090136246136	9.106753084746499	-1.3826629485003634	True
78	google-bert/bert-base-multilingual-cased	79	7.111374294540535	7.52737206867896	-0.4159977741384253	True
79	google-bert/bert-base-multilingual-cased	80	7.433985776361078	7.23484474150464	0.19914103485643864	False
80	google-bert/bert-base-multilingual-cased	81	6.59032760495902	5.829517743736505	0.7608098612225147	False
81	google-bert/bert-base-multilingual-cased	82	6.330379943052927	6.783078424632549	-0.4526984815796222	True
82	google-bert/bert-base-multilingual-cased	83	6.138367520521085	5.667797637730837	0.47056988279024736	False
83	google-bert/bert-base-multilingual-cased	84	6.312563359737396	6.413942881673575	-0.10137952193617839	True
84	google-bert/bert-base-multilingual-cased	85	6.509598023849248	6.131639713297288	0.3779583105519606	False
85	google-bert/bert-base-multilingual-cased	86	6.422546170279384	6.64831882516543	-0.22577265488604592	True
86	google-bert/bert-base-multilingual-cased	87	5.941198230162263	5.653204744557539	0.2879934856047237	False
87	google-bert/bert-base-multilingual-cased	88	6.376198338220517	6.491088440765938	-0.11489010254542098	True
88	google-bert/bert-base-multilingual-cased	89	6.662397888760606	5.771794020719826	0.8906038680407802	False
89	google-bert/bert-base-multilingual-cased	90	6.624502403313914	6.703261610865593	-0.07875920755167876	True
90	google-bert/bert-base-multilingual-cased	91	5.798543791432555	5.4438187880814075	0.3547250033511471	False
91	google-bert/bert-base-multilingual-cased	92	6.066008573770523	6.451216391995549	-0.3852078182250267	True
92	google-bert/bert-base-multilingual-cased	93	6.632672766691442	5.88306484396259	0.7496079227288526	False
93	google-bert/bert-base-multilingual-cased	94	7.052884118321041	6.923478303601344	0.12940581471969637	False
94	google-bert/bert-base-multilingual-cased	95	6.128195078050097	5.609437610705694	0.5187574673444031	False
95	google-bert/bert-base-multilingual-cased	96	6.408749016933143	6.565296232948701	-0.1565472160155581	True
96	google-bert/bert-base-multilingual-cased	97	7.190742884325736	6.1914565214887265	0.9992863628370099	False
97	google-bert/bert-base-multilingual-cased	98	6.500756491472323	6.769133814734718	-0.2683773232623947	True
98	google-bert/bert-base-multilingual-cased	99	5.905582761733482	5.592740458250046	0.31284230348343645	False
99	google-bert/bert-base-multilingual-cased	100	6.399915356934071	6.88162202052772	-0.48170666359364933	True
100	google-bert/bert-base-multilingual-cased	101	6.979660972731362	6.89227640600875	0.08738456672261208	False
101	google-bert/bert-base-multilingual-cased	102	7.9520899898838255	8.065088892231383	-0.11299890234755772	True
102	google-bert/bert-base-multilingual-cased	103	7.077264636692902	6.504967272281647	0.5722973644112557	False
103	google-bert/bert-base-multilingual-cased	104	6.828721247240901	7.258367417380214	-0.4296461701393124	True
104	google-bert/bert-base-multilingual-cased	105	6.286680795533465	5.353536952584982	0.9331438429484837	False
105	google-bert/bert-base-multilingual-cased	106	6.159511821145813	6.5300961176057655	-0.3705842964599526	True
106	google-bert/bert-base-multilingual-cased	107	5.425834670215845	5.128521132171154	0.2973135380446905	False
107	google-bert/bert-base-multilingual-cased	108	5.775869648009538	5.96960492566228	-0.1937352776527419	True
108	google-bert/bert-base-multilingual-cased	109	7.006070441445239	6.191239168991645	0.8148312724535938	False
109	google-bert/bert-base-multilingual-cased	110	7.218797337512174	7.2273835194607585	-0.008586181948584404	True
110	google-bert/bert-base-multilingual-cased	111	6.370478285166124	5.826046596715848	0.5444316884502758	False
111	google-bert/bert-base-multilingual-cased	112	6.746718292993805	6.710865269104639	0.03585302388916567	False
112	google-bert/bert-base-multilingual-cased	113	6.929585074505691	6.190754919002453	0.7388301555032379	False
113	google-bert/bert-base-multilingual-cased	114	6.936703387772044	6.937591440230608	-0.000888052458563493	True
114	google-bert/bert-base-multilingual-cased	115	6.223617731221021	5.968682182083528	0.2549355491374925	False
115	google-bert/bert-base-multilingual-cased	116	6.556688414141536	6.962737242629132	-0.40604882848759605	True
116	google-bert/bert-base-multilingual-cased	117	6.343451772565023	5.483385999966413	0.8600657725986096	False
117	google-bert/bert-base-multilingual-cased	118	6.282350904121995	6.582374256507805	-0.3000233523858098	True
118	google-bert/bert-base-multilingual-cased	119	5.777134248334915	5.482342578843236	0.294791669491679	False
119	google-bert/bert-base-multilingual-cased	120	6.059959139395505	6.104882819019258	-0.044923679623752655	True
120	google-bert/bert-base-multilingual-cased	121	7.276680075377226	7.185287262499332	0.0913928128778938	False
121	google-bert/bert-base-multilingual-cased	122	7.265349551041922	8.258821315566697	-0.9934717645247755	True
122	google-bert/bert-base-multilingual-cased	123	6.911217337350051	7.286180917918682	-0.37496358056863155	True
123	google-bert/bert-base-multilingual-cased	124	6.967972847819328	7.114163169264794	-0.14619032144546562	True
124	google-bert/bert-base-multilingual-cased	125	7.093669435381889	7.651243874430657	-0.5575744390487678	True
125	google-bert/bert-base-multilingual-cased	126	7.480214916169643	8.2626921693484	-0.7824772531787563	True
126	google-bert/bert-base-multilingual-cased	127	6.95151770611604	7.271890088419118	-0.32037238230307796	True
127	google-bert/bert-base-multilingual-cased	128	7.128629241883755	7.354363792886337	-0.22573455100258233	True
128	google-bert/bert-base-multilingual-cased	129	6.817789381742477	7.030498850941659	-0.212709469199182	True
129	google-bert/bert-base-multilingual-cased	130	7.300886681477229	8.115762756466866	-0.8148760749896375	True
130	google-bert/bert-base-multilingual-cased	131	6.619476305743058	7.321821368336677	-0.7023450625936185	True
131	google-bert/bert-base-multilingual-cased	132	6.744977497458459	7.234878090023995	-0.48990059256553575	True
132	google-bert/bert-base-multilingual-cased	133	7.189505371848742	7.661132217943669	-0.4716268460949271	True
133	google-bert/bert-base-multilingual-cased	134	8.279397376875082	8.635514382521311	-0.3561170056462295	True
134	google-bert/bert-base-multilingual-cased	135	7.08369290928046	7.359416889150938	-0.27572397987047825	True
135	google-bert/bert-base-multilingual-cased	136	7.351588225364685	7.4249785070618	-0.07339028169711526	True
136	google-bert/bert-base-multilingual-cased	137	7.702826213166118	7.697169010527432	0.005657202638685632	False
137	google-bert/bert-base-multilingual-cased	138	6.9997877641891435	8.315989472530783	-1.316201708341639	True
138	google-bert/bert-base-multilingual-cased	139	6.674448053414624	7.244016200117767	-0.5695681467031433	True
139	google-bert/bert-base-multilingual-cased	140	7.193613954819739	7.684089551493526	-0.4904755966737868	True
140	google-bert/bert-base-multilingual-cased	141	7.399112478941679	7.805685606971383	-0.406573128029704	True
141	google-bert/bert-base-multilingual-cased	142	8.408093142012754	8.854318119585514	-0.4462249775727596	True
142	google-bert/bert-base-multilingual-cased	143	7.616470385591188	7.708925440907478	-0.09245505531629039	True
143	google-bert/bert-base-multilingual-cased	144	7.271833464875817	7.455840550363064	-0.18400708548724687	True
144	google-bert/bert-base-multilingual-cased	145	6.887340160012245	7.145277062654495	-0.2579369026422498	True
145	google-bert/bert-base-multilingual-cased	146	6.954808653295041	7.988436116774878	-1.0336274634798368	True
146	google-bert/bert-base-multilingual-cased	147	6.222821493347486	6.799074902236461	-0.5762534088889746	True
