	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	1.736304615031589	2.2637939669869165	-0.5274893519553274	True
1	google-bert/bert-base-multilingual-cased	2	5.271721033006907	5.6870879350695756	-0.4153669020626687	True
2	google-bert/bert-base-multilingual-cased	3	3.1849964915802986	4.5715302499857815	-1.3865337584054829	True
3	google-bert/bert-base-multilingual-cased	4	5.060439935752323	5.315389953553677	-0.2549500178013533	True
4	google-bert/bert-base-multilingual-cased	5	4.014837087346957	4.204367167674578	-0.18953008032762053	True
5	google-bert/bert-base-multilingual-cased	6	2.6783013289624993	3.107126208868894	-0.4288248799063945	True
6	google-bert/bert-base-multilingual-cased	7	5.767216794937849	6.083227450866252	-0.3160106559284026	True
7	google-bert/bert-base-multilingual-cased	8	3.0656504423329323	4.320722507708001	-1.2550720653750687	True
8	google-bert/bert-base-multilingual-cased	9	5.411368595702307	5.662748130304473	-0.2513795346021652	True
9	google-bert/bert-base-multilingual-cased	10	4.383614307412734	4.737078941785372	-0.35346463437263775	True
10	google-bert/bert-base-multilingual-cased	11	2.710646478967233	3.1861698546192865	-0.4755233756520534	True
11	google-bert/bert-base-multilingual-cased	12	5.6735506381839516	6.3515834745951	-0.6780328364111483	True
12	google-bert/bert-base-multilingual-cased	13	2.988917135379531	4.337772790681232	-1.3488556553017008	True
13	google-bert/bert-base-multilingual-cased	14	5.280309047017779	5.568215527704784	-0.2879064806870053	True
14	google-bert/bert-base-multilingual-cased	15	4.71110969552627	5.019561824890284	-0.30845212936401367	True
15	google-bert/bert-base-multilingual-cased	16	2.08637132247289	2.500571158799258	-0.41419983632636814	True
16	google-bert/bert-base-multilingual-cased	17	5.496402789031466	5.7766052006122965	-0.2802024115808308	True
17	google-bert/bert-base-multilingual-cased	18	2.872286887782993	4.034648883523364	-1.1623619957403708	True
18	google-bert/bert-base-multilingual-cased	19	4.984612163333666	5.201155426956359	-0.21654326362269316	True
19	google-bert/bert-base-multilingual-cased	20	4.540434046815603	4.836863766878079	-0.29642972006247614	True
20	google-bert/bert-base-multilingual-cased	21	2.4739286642182954	2.9423575726422397	-0.46842890842394436	True
21	google-bert/bert-base-multilingual-cased	22	5.630671505443752	5.940318244230002	-0.3096467387862498	True
22	google-bert/bert-base-multilingual-cased	23	3.0697069741559755	4.557746683557828	-1.4880397094018525	True
23	google-bert/bert-base-multilingual-cased	24	5.158055518354688	5.364461121814592	-0.20640560345990355	True
24	google-bert/bert-base-multilingual-cased	25	4.3367905502135935	4.627552195237233	-0.29076164502363966	True
25	google-bert/bert-base-multilingual-cased	26	1.9295541373166172	2.23897978595712	-0.3094256486405027	True
26	google-bert/bert-base-multilingual-cased	27	5.217503450065851	5.635185289848596	-0.41768183978274465	True
27	google-bert/bert-base-multilingual-cased	28	2.552181223576719	3.6740037699540453	-1.1218225463773264	True
28	google-bert/bert-base-multilingual-cased	29	5.048560764108386	5.218942878501756	-0.17038211439337037	True
29	google-bert/bert-base-multilingual-cased	30	4.088226047845987	4.444796085357666	-0.3565700375116787	True
30	google-bert/bert-base-multilingual-cased	31	2.15890756520358	2.4966250400651586	-0.33771747486157855	True
31	google-bert/bert-base-multilingual-cased	32	5.468010415695607	5.895824148971587	-0.42781373327597993	True
32	google-bert/bert-base-multilingual-cased	33	2.9242372034174022	4.147537977858023	-1.2233007744406206	True
33	google-bert/bert-base-multilingual-cased	34	5.200511498110635	5.387253857084683	-0.18674235897404756	True
34	google-bert/bert-base-multilingual-cased	35	4.11795948101924	4.386338856357795	-0.2683793753385544	True
35	google-bert/bert-base-multilingual-cased	36	1.620440668454676	1.9620914793375768	-0.34165081088290083	True
36	google-bert/bert-base-multilingual-cased	37	4.949176275109251	5.360564024467021	-0.41138774935777	True
37	google-bert/bert-base-multilingual-cased	38	2.5021637362061124	3.7657166484630467	-1.2635529122569342	True
38	google-bert/bert-base-multilingual-cased	39	4.622566335258029	4.760760061088063	-0.13819372583003364	True
39	google-bert/bert-base-multilingual-cased	40	4.024398327446901	4.367798804186093	-0.34340047673919205	True
40	google-bert/bert-base-multilingual-cased	41	3.1162261976437136	3.615527009422129	-0.49930081177841545	True
41	google-bert/bert-base-multilingual-cased	42	5.376790882274508	5.8806998149491845	-0.5039089326746762	True
42	google-bert/bert-base-multilingual-cased	43	3.264538923899333	4.633267974311655	-1.3687290504123224	True
43	google-bert/bert-base-multilingual-cased	44	5.351898393460682	5.472517903362002	-0.12061950990131987	True
44	google-bert/bert-base-multilingual-cased	45	4.498672758157436	4.846161951239292	-0.3474891930818558	True
45	google-bert/bert-base-multilingual-cased	46	2.404201712120663	2.911397090012377	-0.5071953778917142	True
46	google-bert/bert-base-multilingual-cased	47	5.678629096224904	6.0868148110806946	-0.40818571485579014	True
47	google-bert/bert-base-multilingual-cased	48	3.348084339589784	4.534610276420911	-1.186525936831127	True
