	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	8.048046974908738	8.341433252607073	-0.29338627769833536	True
1	google-bert/bert-base-multilingual-cased	2	7.7555444694700695	7.876833404813494	-0.12128893534342478	True
2	google-bert/bert-base-multilingual-cased	3	7.698309080941336	8.179677622658867	-0.4813685417175302	True
3	google-bert/bert-base-multilingual-cased	4	7.9678634234837125	8.419369470505487	-0.4515060470217742	True
4	google-bert/bert-base-multilingual-cased	5	7.616261084874472	7.707354988370623	-0.09109390349615154	True
5	google-bert/bert-base-multilingual-cased	6	8.214559169042678	8.86725343976702	-0.6526942707243428	True
6	google-bert/bert-base-multilingual-cased	7	7.934813215619042	8.529264109475273	-0.594450893856231	True
7	google-bert/bert-base-multilingual-cased	8	9.369938680103846	9.53485419636681	-0.16491551626296364	True
8	google-bert/bert-base-multilingual-cased	9	8.930245615187145	9.043737729390461	-0.11349211420331606	True
9	google-bert/bert-base-multilingual-cased	10	9.300876004355294	9.388138657524474	-0.08726265316918003	True
10	google-bert/bert-base-multilingual-cased	11	9.391392605645317	9.647255704516455	-0.25586309887113856	True
11	google-bert/bert-base-multilingual-cased	12	9.282665229979015	9.073042937687465	0.2096222922915505	False
12	google-bert/bert-base-multilingual-cased	13	9.571167730149769	10.091032800220306	-0.5198650700705372	True
13	google-bert/bert-base-multilingual-cased	14	9.404095399947394	9.856213229043144	-0.4521178290957497	True
14	google-bert/bert-base-multilingual-cased	15	7.861494325456165	8.055797758556547	-0.19430343310038278	True
15	google-bert/bert-base-multilingual-cased	16	7.5194789568583165	8.026103326252528	-0.5066243693942116	True
16	google-bert/bert-base-multilingual-cased	17	7.770477590106782	8.143645218440465	-0.37316762833368333	True
17	google-bert/bert-base-multilingual-cased	18	7.826524893442789	8.454569112686885	-0.6280442192440958	True
18	google-bert/bert-base-multilingual-cased	19	7.428135474522908	7.483221928278605	-0.05508645375569721	True
19	google-bert/bert-base-multilingual-cased	20	7.894208601542881	8.705739657084147	-0.8115310555412654	True
20	google-bert/bert-base-multilingual-cased	21	7.847809859684536	8.38473223504566	-0.536922375361125	True
21	google-bert/bert-base-multilingual-cased	22	7.359472927593049	7.573480015709286	-0.21400708811623748	True
22	google-bert/bert-base-multilingual-cased	23	7.147639232022422	7.388519037337531	-0.24087980531510933	True
23	google-bert/bert-base-multilingual-cased	24	7.325820678756351	7.6630973248254675	-0.33727664606911656	True
24	google-bert/bert-base-multilingual-cased	25	7.575786846024649	7.98538167987551	-0.4095948338508606	True
25	google-bert/bert-base-multilingual-cased	26	7.189937651157379	7.178944831802732	0.010992819354647132	False
26	google-bert/bert-base-multilingual-cased	27	7.642703056335449	8.436509314037504	-0.7938062577020553	True
27	google-bert/bert-base-multilingual-cased	28	7.512893358866374	7.9230876706895375	-0.41019431182316346	True
