	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	5.945678790410359	6.345408293935987	-0.3997295035256272	True
1	google-bert/bert-base-multilingual-cased	2	5.84571369489034	6.14809184604221	-0.3023781511518697	True
2	google-bert/bert-base-multilingual-cased	3	5.929267009099324	6.293990996148852	-0.364723987049528	True
3	google-bert/bert-base-multilingual-cased	4	5.731343229611714	6.345133423805237	-0.6137901941935224	True
4	google-bert/bert-base-multilingual-cased	5	5.980914764934116	5.75935349199507	0.22156127293904593	False
5	google-bert/bert-base-multilingual-cased	6	6.37572337521447	6.7122000853220625	-0.3364767101075925	True
6	google-bert/bert-base-multilingual-cased	7	6.126459002494812	6.729897618293762	-0.6034386157989502	True
7	google-bert/bert-base-multilingual-cased	8	7.737589902347988	7.6441553301281395	0.09343457221984863	False
8	google-bert/bert-base-multilingual-cased	9	7.397053559621175	7.4255064725875854	-0.028452912966410615	True
9	google-bert/bert-base-multilingual-cased	10	8.311774359809029	7.779656264517041	0.5321180952919873	False
10	google-bert/bert-base-multilingual-cased	11	7.269583291477627	7.856398820877075	-0.5868155293994484	True
11	google-bert/bert-base-multilingual-cased	12	7.512614634301928	7.359786219067044	0.15282841523488422	False
12	google-bert/bert-base-multilingual-cased	13	8.400453978114657	8.5258244143592	-0.12537043624454292	True
13	google-bert/bert-base-multilingual-cased	14	8.284922864702013	8.343185954623753	-0.058263089921739564	True
14	google-bert/bert-base-multilingual-cased	15	6.392406596077812	6.48980372481876	-0.09739712874094764	True
15	google-bert/bert-base-multilingual-cased	16	6.027105304929946	6.417322900560168	-0.3902175956302223	True
16	google-bert/bert-base-multilingual-cased	17	6.768687142266168	6.81273959742652	-0.04405245516035272	True
17	google-bert/bert-base-multilingual-cased	18	5.964528150028652	6.837609065903557	-0.8730809158749047	True
18	google-bert/bert-base-multilingual-cased	19	6.239246898227268	6.084043780962626	0.15520311726464175	False
19	google-bert/bert-base-multilingual-cased	20	6.428661372926499	7.016737798849742	-0.5880764259232425	True
20	google-bert/bert-base-multilingual-cased	21	6.572642962137858	6.949113210042317	-0.37647024790445904	True
21	google-bert/bert-base-multilingual-cased	22	6.12676860888799	6.3745759460661136	-0.24780733717812353	True
22	google-bert/bert-base-multilingual-cased	23	5.411316042145093	5.801913695202933	-0.39059765305784033	True
23	google-bert/bert-base-multilingual-cased	24	6.308159725533591	6.3728049993515015	-0.06464527381791019	True
24	google-bert/bert-base-multilingual-cased	25	5.279508754611015	6.075749735037486	-0.7962409804264707	True
25	google-bert/bert-base-multilingual-cased	26	5.589676704671647	5.501709168155988	0.08796753651565936	False
26	google-bert/bert-base-multilingual-cased	27	5.838053655293252	6.459027273787392	-0.6209736184941397	True
27	google-bert/bert-base-multilingual-cased	28	5.9453041834963685	6.455953765246604	-0.5106495817502354	True
28	google-bert/bert-base-multilingual-cased	29	6.701105289989048	7.191216243637933	-0.4901109536488848	True
29	google-bert/bert-base-multilingual-cased	30	6.704984148343404	7.020680255360073	-0.3156961070166693	True
30	google-bert/bert-base-multilingual-cased	31	7.268007278442383	7.378944582409329	-0.11093730396694657	True
31	google-bert/bert-base-multilingual-cased	32	6.738700416353015	7.236558265156217	-0.4978578488032017	True
32	google-bert/bert-base-multilingual-cased	33	6.8476910326215945	6.635763141844007	0.2119278907775879	False
33	google-bert/bert-base-multilingual-cased	34	7.165162947442798	7.719817757606506	-0.5546548101637088	True
34	google-bert/bert-base-multilingual-cased	35	7.122699088520474	7.582879503568013	-0.4601804150475388	True
