	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	4.067749639174768	5.041899391250419	-0.9741497520756504	True
1	google-bert/bert-base-multilingual-cased	2	5.012964359074388	6.037405012607841	-1.0244406535334525	True
2	google-bert/bert-base-multilingual-cased	3	5.730663568513202	6.18824888628331	-0.4575853177701079	True
3	google-bert/bert-base-multilingual-cased	4	5.633719151917225	6.57064222296079	-0.936923071043565	True
4	google-bert/bert-base-multilingual-cased	5	5.802439689442204	6.5709979909782605	-0.7685583015360562	True
5	google-bert/bert-base-multilingual-cased	6	5.289956817597462	6.50333212032759	-1.2133753027301282	True
6	google-bert/bert-base-multilingual-cased	7	5.6595823984049884	6.127134143995742	-0.46755174559075385	True
7	google-bert/bert-base-multilingual-cased	8	3.97220055084853	4.621922939838399	-0.6497223889898689	True
8	google-bert/bert-base-multilingual-cased	9	5.129143533840155	5.439511066790494	-0.31036753295033837	True
9	google-bert/bert-base-multilingual-cased	10	6.16352088332531	6.425033416155549	-0.26151253283023923	True
10	google-bert/bert-base-multilingual-cased	11	5.688502197153866	6.1053322755421195	-0.41683007838825326	True
11	google-bert/bert-base-multilingual-cased	12	5.457570458801152	5.684928041960423	-0.22735758315927068	True
12	google-bert/bert-base-multilingual-cased	13	5.426062568672933	6.153715541275838	-0.7276529726029057	True
13	google-bert/bert-base-multilingual-cased	14	5.460576406291997	5.448309977383664	0.012266428908333182	False
14	google-bert/bert-base-multilingual-cased	15	3.4509122269006354	4.292919217753002	-0.8420069908523664	True
15	google-bert/bert-base-multilingual-cased	16	4.336912981223404	4.937056631720182	-0.6001436504967783	True
16	google-bert/bert-base-multilingual-cased	17	5.3365324388169455	5.876677575122033	-0.5401451363050871	True
17	google-bert/bert-base-multilingual-cased	18	5.1954832703922875	5.8774118672784725	-0.681928596886185	True
18	google-bert/bert-base-multilingual-cased	19	5.036245352074426	5.737384863042584	-0.701139510968158	True
19	google-bert/bert-base-multilingual-cased	20	4.93272637539	5.999606326959716	-1.0668799515697165	True
20	google-bert/bert-base-multilingual-cased	21	5.162283683409139	5.498135678761173	-0.33585199535203447	True
21	google-bert/bert-base-multilingual-cased	22	4.017657908987964	4.400708460182484	-0.38305055119452014	True
22	google-bert/bert-base-multilingual-cased	23	4.931170139184576	5.2656223773679125	-0.3344522381833368	True
23	google-bert/bert-base-multilingual-cased	24	5.395362740005589	5.755750449174749	-0.3603877091691601	True
24	google-bert/bert-base-multilingual-cased	25	5.243735952419229	5.7183700340101495	-0.4746340815909207	True
25	google-bert/bert-base-multilingual-cased	26	5.3284151583502535	5.66858703592637	-0.34017187757611644	True
26	google-bert/bert-base-multilingual-cased	27	4.950810167104161	5.73894337999324	-0.788133212889079	True
27	google-bert/bert-base-multilingual-cased	28	5.368972932298979	5.324130392943819	0.044842539355159694	False
28	google-bert/bert-base-multilingual-cased	29	3.907468711292105	4.543879058877272	-0.6364103475851675	True
29	google-bert/bert-base-multilingual-cased	30	4.998521747100832	5.357560894895522	-0.3590391477946895	True
30	google-bert/bert-base-multilingual-cased	31	5.807043424896187	6.036102929241246	-0.2290595043450594	True
31	google-bert/bert-base-multilingual-cased	32	5.532704723610853	6.039987363697341	-0.5072826400864878	True
32	google-bert/bert-base-multilingual-cased	33	5.334529067816524	5.6720819163601846	-0.33755284854366074	True
33	google-bert/bert-base-multilingual-cased	34	5.169153612359271	6.000381820214292	-0.8312282078550206	True
34	google-bert/bert-base-multilingual-cased	35	5.3550404784424845	5.267044559276353	0.08799591916613192	False
35	google-bert/bert-base-multilingual-cased	36	3.9468494519546984	4.93743293586054	-0.990583483905842	True
36	google-bert/bert-base-multilingual-cased	37	4.947501458732101	5.792684596109515	-0.8451831373774139	True
37	google-bert/bert-base-multilingual-cased	38	5.6482982847484795	6.104601767601535	-0.45630348285305544	True
38	google-bert/bert-base-multilingual-cased	39	5.515367320932759	6.105895054681847	-0.590527733749088	True
39	google-bert/bert-base-multilingual-cased	40	5.493492227862589	6.144648164859973	-0.6511559369973838	True
40	google-bert/bert-base-multilingual-cased	41	5.346893263747916	6.2736404295234625	-0.9267471657755468	True
41	google-bert/bert-base-multilingual-cased	42	5.504896693552533	5.887785071351876	-0.38288837779934237	True
42	google-bert/bert-base-multilingual-cased	43	4.461068584871966	5.0776998195797205	-0.6166312347077545	True
43	google-bert/bert-base-multilingual-cased	44	5.340872375549572	5.79231067651528	-0.4514383009657079	True
44	google-bert/bert-base-multilingual-cased	45	6.700187324701498	6.8408231773369375	-0.1406358526354392	True
45	google-bert/bert-base-multilingual-cased	46	5.9891832183348015	6.510492005501874	-0.5213087871670723	True
46	google-bert/bert-base-multilingual-cased	47	6.218352272475991	6.477666606001245	-0.25931433352525346	True
47	google-bert/bert-base-multilingual-cased	48	6.058195565070491	6.732162982147808	-0.6739674170773169	True
48	google-bert/bert-base-multilingual-cased	49	6.125155283196364	6.206164606672246	-0.08100932347588241	True
49	google-bert/bert-base-multilingual-cased	50	3.7072054785953483	4.083889039881926	-0.376683561286578	True
50	google-bert/bert-base-multilingual-cased	51	4.817612332546906	5.033859943366786	-0.2162476108198801	True
51	google-bert/bert-base-multilingual-cased	52	5.510716853125596	5.702624285593629	-0.19190743246803255	True
52	google-bert/bert-base-multilingual-cased	53	5.3635197920084465	5.6841562937285435	-0.32063650172009694	True
53	google-bert/bert-base-multilingual-cased	54	5.34773452586281	5.525814787038446	-0.17808026117563625	True
54	google-bert/bert-base-multilingual-cased	55	5.001039736433692	5.665850244132647	-0.664810507698955	True
55	google-bert/bert-base-multilingual-cased	56	5.485343272312699	5.378666367051968	0.10667690526073059	False
56	google-bert/bert-base-multilingual-cased	57	3.784374777804173	4.337588480097198	-0.5532137022930246	True
