	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	6.358191384209527	7.891653802659776	-1.5334624184502488	True
1	google-bert/bert-base-multilingual-cased	2	7.0552659034729	7.250915792253282	-0.19564988878038125	True
2	google-bert/bert-base-multilingual-cased	3	7.213023371166653	8.364159107208252	-1.1511357360415992	True
3	google-bert/bert-base-multilingual-cased	4	6.535430484347874	8.18931614028083	-1.6538856559329567	True
4	google-bert/bert-base-multilingual-cased	5	6.916070938110352	7.329311635759143	-0.41324069764879123	True
5	google-bert/bert-base-multilingual-cased	6	7.39724800321791	8.688492933909098	-1.291244930691188	True
6	google-bert/bert-base-multilingual-cased	7	7.277914841969808	8.582535319858128	-1.30462047788832	True
7	google-bert/bert-base-multilingual-cased	8	11.266025066375732	11.953749232821993	-0.6877241664462606	True
8	google-bert/bert-base-multilingual-cased	9	10.63210063510471	10.154232343037924	0.4778682920667858	False
9	google-bert/bert-base-multilingual-cased	10	12.344553629557291	11.673194408416748	0.671359221140543	False
10	google-bert/bert-base-multilingual-cased	11	10.788642883300781	11.691039244333902	-0.9023963610331212	True
11	google-bert/bert-base-multilingual-cased	12	11.616301854451498	11.27563852734036	0.34066332711113745	False
12	google-bert/bert-base-multilingual-cased	13	12.176403840382894	12.931743621826172	-0.7553397814432774	True
13	google-bert/bert-base-multilingual-cased	14	12.083483431074354	13.313219600253634	-1.2297361691792794	True
14	google-bert/bert-base-multilingual-cased	15	7.169514311684503	8.34941471947564	-1.1799004077911368	True
15	google-bert/bert-base-multilingual-cased	16	7.16497982872857	7.995180077022976	-0.830200248294406	True
16	google-bert/bert-base-multilingual-cased	17	7.597844547695584	8.609075758192274	-1.0112312104966898	True
17	google-bert/bert-base-multilingual-cased	18	7.108491685655381	8.230255921681723	-1.1217642360263413	True
18	google-bert/bert-base-multilingual-cased	19	7.114877170986599	7.375252670711942	-0.2603754997253427	True
19	google-bert/bert-base-multilingual-cased	20	8.052154646979437	8.628552966647677	-0.5763983196682396	True
20	google-bert/bert-base-multilingual-cased	21	7.934412082036336	8.814723571141561	-0.8803114891052255	True
21	google-bert/bert-base-multilingual-cased	22	6.860885990990532	7.744553936852349	-0.8836679458618173	True
22	google-bert/bert-base-multilingual-cased	23	6.719158666001427	7.18501012855106	-0.46585146254963306	True
23	google-bert/bert-base-multilingual-cased	24	7.325280199448268	7.919392208258311	-0.5941120088100433	True
