	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	7.749016536606683	8.975824435551962	-1.226807898945279	True
1	google-bert/bert-base-multilingual-cased	2	7.477571381462945	8.415361722310385	-0.9377903408474397	True
2	google-bert/bert-base-multilingual-cased	3	9.468374172846476	9.09848427772522	0.3698898951212559	False
3	google-bert/bert-base-multilingual-cased	4	8.168548002839088	10.459246546030045	-2.290698543190956	True
4	google-bert/bert-base-multilingual-cased	5	7.355907738208771	9.980241537094116	-2.6243337988853455	True
5	google-bert/bert-base-multilingual-cased	6	6.542217969894409	9.23649063706398	-2.694272667169571	True
6	google-bert/bert-base-multilingual-cased	7	7.585973829030991	10.213426291942596	-2.627452462911606	True
7	google-bert/bert-base-multilingual-cased	8	9.048499955071343	9.453621705373129	-0.4051217503017863	True
8	google-bert/bert-base-multilingual-cased	9	7.115835044119094	8.634922663370768	-1.5190876192516738	True
9	google-bert/bert-base-multilingual-cased	10	10.003899494806925	9.575687487920126	0.42821200688679895	False
10	google-bert/bert-base-multilingual-cased	11	8.62447214126587	10.77863198518753	-2.1541598439216614	True
11	google-bert/bert-base-multilingual-cased	12	8.517463594675064	9.957557082176208	-1.4400934875011444	True
12	google-bert/bert-base-multilingual-cased	13	8.16885894536972	10.195578038692476	-2.0267190933227557	True
13	google-bert/bert-base-multilingual-cased	14	7.528772234916687	9.978589653968811	-2.449817419052124	True
14	google-bert/bert-base-multilingual-cased	15	9.035889016257393	10.54207150141398	-1.5061824851565877	True
15	google-bert/bert-base-multilingual-cased	16	8.624398231506348	10.189143816630045	-1.5647455851236973	True
16	google-bert/bert-base-multilingual-cased	17	11.041999101638794	10.853285948435465	0.18871315320332904	False
17	google-bert/bert-base-multilingual-cased	18	8.503815233707428	11.156342566013336	-2.652527332305908	True
18	google-bert/bert-base-multilingual-cased	19	8.514525979757309	10.49416732788086	-1.9796413481235504	True
19	google-bert/bert-base-multilingual-cased	20	8.917272508144379	11.30053448677063	-2.383261978626251	True
20	google-bert/bert-base-multilingual-cased	21	8.05727818608284	11.160826563835144	-3.103548377752304	True
21	google-bert/bert-base-multilingual-cased	22	7.975209600395626	9.994492530822754	-2.019282930427128	True
22	google-bert/bert-base-multilingual-cased	23	7.989183743794759	9.849818229675293	-1.8606344858805342	True
23	google-bert/bert-base-multilingual-cased	24	10.799401044845581	10.567982832590738	0.23141821225484271	False
24	google-bert/bert-base-multilingual-cased	25	8.608217716217041	10.42839515209198	-1.820177435874939	True
25	google-bert/bert-base-multilingual-cased	26	7.343910276889801	9.040366351604462	-1.6964560747146606	True
26	google-bert/bert-base-multilingual-cased	27	7.7688711285591125	9.683789789676666	-1.9149186611175537	True
27	google-bert/bert-base-multilingual-cased	28	8.20767629146576	10.58903843164444	-2.3813621401786804	True
28	google-bert/bert-base-multilingual-cased	29	9.447767562336391	10.388456265131632	-0.9406887027952404	True
29	google-bert/bert-base-multilingual-cased	30	8.863371239768133	10.195542017618815	-1.3321707778506813	True
30	google-bert/bert-base-multilingual-cased	31	10.843977928161621	10.429953972498575	0.41402395566304584	False
31	google-bert/bert-base-multilingual-cased	32	9.33099776506424	11.264864444732666	-1.9338666796684265	True
32	google-bert/bert-base-multilingual-cased	33	8.0659898519516	9.63125342130661	-1.565263569355011	True
33	google-bert/bert-base-multilingual-cased	34	8.099196672439575	10.156385362148285	-2.0571886897087097	True
34	google-bert/bert-base-multilingual-cased	35	8.649031817913055	10.869812726974487	-2.220780909061432	True
35	google-bert/bert-base-multilingual-cased	36	8.65721861521403	9.5676851272583	-0.9104665120442714	True
36	google-bert/bert-base-multilingual-cased	37	8.093519528706869	9.261985778808594	-1.1684662501017247	True
37	google-bert/bert-base-multilingual-cased	38	10.966691493988037	9.912558794021606	1.0541326999664307	False
38	google-bert/bert-base-multilingual-cased	39	8.21116128563881	10.325356990098953	-2.114195704460144	True
39	google-bert/bert-base-multilingual-cased	40	8.486235618591309	10.574034810066223	-2.0877991914749146	True
40	google-bert/bert-base-multilingual-cased	41	8.111788094043732	10.834250330924988	-2.722462236881256	True
41	google-bert/bert-base-multilingual-cased	42	7.62419205904007	10.486426711082458	-2.862234652042389	True
42	google-bert/bert-base-multilingual-cased	43	9.396533992555407	10.677398045857748	-1.2808640533023414	True
43	google-bert/bert-base-multilingual-cased	44	8.845866415235731	10.419633070627848	-1.5737666553921166	True
44	google-bert/bert-base-multilingual-cased	45	11.793574651082357	11.386098543802897	0.4074761072794608	False
45	google-bert/bert-base-multilingual-cased	46	8.557579398155212	10.753114938735962	-2.1955355405807495	True
46	google-bert/bert-base-multilingual-cased	47	8.401737689971924	10.08862555027008	-1.6868878602981567	True
47	google-bert/bert-base-multilingual-cased	48	8.47713190317154	10.849130511283875	-2.371998608112335	True
48	google-bert/bert-base-multilingual-cased	49	8.384119689464569	11.10437476634979	-2.7202550768852216	True
49	google-bert/bert-base-multilingual-cased	50	7.3654875225491	9.435775836308798	-2.070288313759698	True
50	google-bert/bert-base-multilingual-cased	51	7.170787201987372	8.34406598409017	-1.1732787821027975	True
51	google-bert/bert-base-multilingual-cased	52	9.510810693105062	9.841060638427734	-0.33024994532267193	True
52	google-bert/bert-base-multilingual-cased	53	6.94915708899498	9.013005554676056	-2.063848465681076	True
53	google-bert/bert-base-multilingual-cased	54	6.41186249256134	8.382108688354492	-1.9702461957931519	True
54	google-bert/bert-base-multilingual-cased	55	6.734158217906952	9.514769792556763	-2.780611574649811	True
55	google-bert/bert-base-multilingual-cased	56	7.407721817493439	9.537357449531555	-2.1296356320381165	True
56	google-bert/bert-base-multilingual-cased	57	8.804716242684258	10.413373072942099	-1.608656830257841	True
57	google-bert/bert-base-multilingual-cased	58	9.120045291052923	10.698557376861572	-1.578512085808649	True
58	google-bert/bert-base-multilingual-cased	59	11.200550079345703	12.043953657150269	-0.8434035778045654	True
59	google-bert/bert-base-multilingual-cased	60	10.123908996582031	12.162747204303741	-2.03883820772171	True
60	google-bert/bert-base-multilingual-cased	61	8.217686355113983	9.898795008659363	-1.6811086535453796	True
61	google-bert/bert-base-multilingual-cased	62	9.104244947433472	11.191631376743317	-2.087386429309845	True
62	google-bert/bert-base-multilingual-cased	63	8.171249568462372	10.544324815273285	-2.373075246810913	True
63	google-bert/bert-base-multilingual-cased	64	11.0425253311793	12.290980339050293	-1.2484550078709926	True
64	google-bert/bert-base-multilingual-cased	65	9.638337903552586	10.820363203684488	-1.1820253001319028	True
65	google-bert/bert-base-multilingual-cased	66	11.844961245854696	11.63470975557963	0.2102514902750663	False
66	google-bert/bert-base-multilingual-cased	67	9.718856513500214	11.516253769397736	-1.797397255897522	True
67	google-bert/bert-base-multilingual-cased	68	10.028296440839767	11.522094190120697	-1.4937977492809296	True
68	google-bert/bert-base-multilingual-cased	69	10.002368807792664	12.143177151679993	-2.140808343887329	True
