	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	8.138883650302887	6.339391686022282	1.7994919642806053	False
1	google-bert/bert-base-multilingual-cased	2	8.181197971105576	6.595384933054447	1.5858130380511284	False
2	google-bert/bert-base-multilingual-cased	3	8.37958487868309	6.365025041624904	2.0145598370581865	False
3	google-bert/bert-base-multilingual-cased	4	7.713497370481491	6.3546756356954575	1.3588217347860336	False
4	google-bert/bert-base-multilingual-cased	5	7.596306912600994	5.586332128693661	2.0099747839073334	False
5	google-bert/bert-base-multilingual-cased	6	7.7471872687339784	6.121047881245613	1.6261393874883652	False
6	google-bert/bert-base-multilingual-cased	7	10.947915226221085	8.972322210669518	1.975593015551567	False
7	google-bert/bert-base-multilingual-cased	8	6.348140403628349	6.624814415350556	-0.27667401172220707	True
8	google-bert/bert-base-multilingual-cased	9	6.552564091980457	6.840659613721073	-0.28809552174061537	True
9	google-bert/bert-base-multilingual-cased	10	6.827688135206699	7.034534525126219	-0.20684638991951942	True
10	google-bert/bert-base-multilingual-cased	11	6.557109206914902	6.612564479311307	-0.05545527239640524	True
11	google-bert/bert-base-multilingual-cased	12	6.146293250843883	5.837479432423909	0.30881381841997335	False
12	google-bert/bert-base-multilingual-cased	13	6.315223440527916	5.8454101135333385	0.46981332699457745	False
13	google-bert/bert-base-multilingual-cased	14	9.266169965267181	8.8347856203715	0.43138434489568134	False
14	google-bert/bert-base-multilingual-cased	15	7.155888795852661	7.183698937296867	-0.027810141444206238	True
15	google-bert/bert-base-multilingual-cased	16	7.012683514505625	7.299505598843098	-0.2868220843374729	True
16	google-bert/bert-base-multilingual-cased	17	7.3279997408390045	6.971752420067787	0.35624732077121735	False
17	google-bert/bert-base-multilingual-cased	18	6.9151834547519675	6.941565647721291	-0.026382192969323093	True
18	google-bert/bert-base-multilingual-cased	19	6.513501892487208	6.106749516911805	0.40675237557540367	False
19	google-bert/bert-base-multilingual-cased	20	6.8058678805828094	6.506093448400497	0.29977443218231237	False
20	google-bert/bert-base-multilingual-cased	21	9.167739406228065	9.176209345459938	-0.008469939231872559	True
21	google-bert/bert-base-multilingual-cased	22	8.55871470272541	7.474498137831688	1.0842165648937225	False
22	google-bert/bert-base-multilingual-cased	23	8.75594275444746	7.653585888445377	1.1023568660020828	False
23	google-bert/bert-base-multilingual-cased	24	9.050567954778671	7.515312939882278	1.5352550148963928	False
24	google-bert/bert-base-multilingual-cased	25	8.6943099796772	6.992557972669601	1.7017520070075989	False
25	google-bert/bert-base-multilingual-cased	26	8.229439282789826	6.5649443827569485	1.664494900032878	False
26	google-bert/bert-base-multilingual-cased	27	8.073318955302238	7.081067711114883	0.9922512441873543	False
27	google-bert/bert-base-multilingual-cased	28	10.445842757821083	9.853607058525085	0.5922356992959976	False
