	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	8.348208039999008	11.027284860610962	-2.6790768206119537	True
1	google-bert/bert-base-multilingual-cased	2	8.021950885653496	11.260000228881836	-3.23804934322834	True
2	google-bert/bert-base-multilingual-cased	3	9.083015859127045	11.736953377723694	-2.653937518596649	True
3	google-bert/bert-base-multilingual-cased	4	8.311201333999634	10.740943789482117	-2.429742455482483	True
4	google-bert/bert-base-multilingual-cased	5	7.065341057876746	9.36470795671145	-2.2993668988347045	True
5	google-bert/bert-base-multilingual-cased	6	10.439793745676676	12.263892809549967	-1.824099063873291	True
6	google-bert/bert-base-multilingual-cased	7	9.966156403223673	12.157530307769775	-2.1913739045461025	True
7	google-bert/bert-base-multilingual-cased	8	7.441988617181778	9.482972264289856	-2.040983647108078	True
8	google-bert/bert-base-multilingual-cased	9	7.40650499612093	9.759449899196625	-2.352944903075695	True
9	google-bert/bert-base-multilingual-cased	10	7.760278470814228	9.584121286869049	-1.823842816054821	True
10	google-bert/bert-base-multilingual-cased	11	7.168180696666241	8.789655268192291	-1.6214745715260506	True
11	google-bert/bert-base-multilingual-cased	12	5.27024124066035	6.094938303033511	-0.8246970623731613	True
12	google-bert/bert-base-multilingual-cased	13	9.706881056229273	10.20668857296308	-0.4998075167338065	True
13	google-bert/bert-base-multilingual-cased	14	7.644223352273305	9.963027318318685	-2.3188039660453805	True
14	google-bert/bert-base-multilingual-cased	15	7.56541833281517	9.651009678840637	-2.085591346025467	True
15	google-bert/bert-base-multilingual-cased	16	7.730400383472443	10.378737568855286	-2.648337185382843	True
16	google-bert/bert-base-multilingual-cased	17	7.444294556975365	10.188798069953918	-2.7445035129785538	True
17	google-bert/bert-base-multilingual-cased	18	7.619149565696716	10.150616884231567	-2.531467318534851	True
18	google-bert/bert-base-multilingual-cased	19	5.685833320021629	6.760992094874382	-1.0751587748527527	True
19	google-bert/bert-base-multilingual-cased	20	8.995376666386923	10.569979349772135	-1.574602683385212	True
20	google-bert/bert-base-multilingual-cased	21	7.72353916366895	9.716048320134481	-1.9925091564655313	True
21	google-bert/bert-base-multilingual-cased	22	7.400374184052149	9.530609051386515	-2.130234867334366	True
22	google-bert/bert-base-multilingual-cased	23	7.772590989867846	11.232439557711283	-3.459848567843437	True
23	google-bert/bert-base-multilingual-cased	24	8.09577331940333	9.665063420931498	-1.5692901015281677	True
24	google-bert/bert-base-multilingual-cased	25	7.653943767150244	8.991696238517761	-1.3377524713675175	True
25	google-bert/bert-base-multilingual-cased	26	6.763173886471324	7.22373452120357	-0.4605606347322464	True
26	google-bert/bert-base-multilingual-cased	27	9.710344394048056	10.803807179133097	-1.0934627850850411	True
27	google-bert/bert-base-multilingual-cased	28	9.910201999876234	11.09943511750963	-1.1892331176333961	True
28	google-bert/bert-base-multilingual-cased	29	7.4405159337911755	8.828379854559898	-1.387863920768723	True
29	google-bert/bert-base-multilingual-cased	30	7.139114634599537	9.110289342701435	-1.9711747081018984	True
30	google-bert/bert-base-multilingual-cased	31	7.782390015665442	9.196072556078434	-1.4136825404129922	True
31	google-bert/bert-base-multilingual-cased	32	7.182819657027721	8.182878732681274	-1.000059075653553	True
32	google-bert/bert-base-multilingual-cased	33	6.006052618225415	6.383420089880626	-0.37736747165521045	True
33	google-bert/bert-base-multilingual-cased	34	8.91517118488749	9.293382423619429	-0.3782112387319394	True
34	google-bert/bert-base-multilingual-cased	35	8.090113945926229	9.8114373087883	-1.721323362862071	True
35	google-bert/bert-base-multilingual-cased	36	7.756078898906708	9.90429425239563	-2.148215353488922	True
36	google-bert/bert-base-multilingual-cased	37	8.169455543160439	10.839790940284729	-2.6703353971242905	True
37	google-bert/bert-base-multilingual-cased	38	8.127567529678345	10.232970595359802	-2.1054030656814575	True
38	google-bert/bert-base-multilingual-cased	39	7.941156715154648	9.86590576171875	-1.9247490465641022	True
39	google-bert/bert-base-multilingual-cased	40	5.879935910304387	6.795936678846677	-0.9160007685422897	True
40	google-bert/bert-base-multilingual-cased	41	9.103984038035074	10.83544135093689	-1.7314573129018154	True
41	google-bert/bert-base-multilingual-cased	42	8.716261883576712	10.79637328783671	-2.0801114042599984	True
42	google-bert/bert-base-multilingual-cased	43	9.876564890146255	11.939805507659912	-2.0632406175136566	True
43	google-bert/bert-base-multilingual-cased	44	10.11610397696495	12.747012734413147	-2.6309087574481964	True
44	google-bert/bert-base-multilingual-cased	45	9.640108361840248	11.472045540809631	-1.8319371789693832	True
45	google-bert/bert-base-multilingual-cased	46	8.550717890262604	10.75692343711853	-2.2062055468559265	True
46	google-bert/bert-base-multilingual-cased	47	7.727042719721794	8.074931800365448	-0.34788908064365387	True
47	google-bert/bert-base-multilingual-cased	48	12.225926160812378	11.89928126335144	0.3266448974609375	False
48	google-bert/bert-base-multilingual-cased	49	10.279202779134115	11.946826219558716	-1.6676234404246006	True
49	google-bert/bert-base-multilingual-cased	50	7.896505940084657	10.209659377733866	-2.313153437649209	True
50	google-bert/bert-base-multilingual-cased	51	7.784091307471195	10.701729456583658	-2.917638149112463	True
51	google-bert/bert-base-multilingual-cased	52	8.111166851595044	9.723362247149149	-1.6121953955541048	True
52	google-bert/bert-base-multilingual-cased	53	7.825075374295315	9.053412596384684	-1.228337222089369	True
53	google-bert/bert-base-multilingual-cased	54	5.341569660024511	6.160149744815296	-0.8185800847907849	True
54	google-bert/bert-base-multilingual-cased	55	8.309648229016199	9.0935181511773	-0.7838699221611005	True
55	google-bert/bert-base-multilingual-cased	56	8.776580006505052	10.583495246039496	-1.8069152395344439	True
56	google-bert/bert-base-multilingual-cased	57	7.422262543113902	9.139986999332905	-1.7177244562190026	True
57	google-bert/bert-base-multilingual-cased	58	7.392081844154745	9.836049899458885	-2.44396805530414	True
58	google-bert/bert-base-multilingual-cased	59	7.414522296749055	9.332035392522812	-1.9175130957737565	True
59	google-bert/bert-base-multilingual-cased	60	6.707106112968177	8.308845184743404	-1.6017390717752278	True
60	google-bert/bert-base-multilingual-cased	61	6.005068126445015	6.356645427644253	-0.3515773011992378	True
61	google-bert/bert-base-multilingual-cased	62	9.472506950919827	9.642976373434067	-0.17046942251423935	True
62	google-bert/bert-base-multilingual-cased	63	8.897729325418672	10.170800571640333	-1.2730712462216616	True
63	google-bert/bert-base-multilingual-cased	64	9.629007250070572	11.995886445045471	-2.3668791949748993	True
64	google-bert/bert-base-multilingual-cased	65	9.756533682346344	12.405286431312561	-2.648752748966217	True
65	google-bert/bert-base-multilingual-cased	66	9.924143359065056	12.166831374168396	-2.24268801510334	True
66	google-bert/bert-base-multilingual-cased	67	9.260422676801682	11.206937313079834	-1.9465146362781525	True
67	google-bert/bert-base-multilingual-cased	68	7.7251091202100115	9.317399134238562	-1.59229001402855	True
68	google-bert/bert-base-multilingual-cased	69	11.320292631785074	11.91113805770874	-0.590845425923666	True
69	google-bert/bert-base-multilingual-cased	70	11.161907275517782	13.416157007217407	-2.254249731699625	True
70	google-bert/bert-base-multilingual-cased	71	7.967133194208145	9.873881459236145	-1.9067482650279999	True
71	google-bert/bert-base-multilingual-cased	72	8.137326121330261	9.771361470222473	-1.634035348892212	True
72	google-bert/bert-base-multilingual-cased	73	8.95803016424179	10.292424738407135	-1.3343945741653442	True
73	google-bert/bert-base-multilingual-cased	74	7.87950137257576	9.585224747657776	-1.705723375082016	True
74	google-bert/bert-base-multilingual-cased	75	6.846433470646541	8.125444640715918	-1.279011170069377	True
75	google-bert/bert-base-multilingual-cased	76	8.380876461664837	9.741751511891684	-1.3608750502268467	True
76	google-bert/bert-base-multilingual-cased	77	8.969016869862875	10.003215154012045	-1.03419828414917	True
77	google-bert/bert-base-multilingual-cased	78	9.728227376937866	12.45178759098053	-2.7235602140426636	True
78	google-bert/bert-base-multilingual-cased	79	9.42066577076912	12.27912700176239	-2.858461230993271	True
79	google-bert/bert-base-multilingual-cased	80	9.546208128333092	12.60709524154663	-3.060887113213539	True
80	google-bert/bert-base-multilingual-cased	81	9.216158211231232	12.441132664680481	-3.2249744534492493	True
81	google-bert/bert-base-multilingual-cased	82	7.451427618662517	8.263041814168295	-0.8116141955057783	True
82	google-bert/bert-base-multilingual-cased	83	11.408526738484701	13.881687959035238	-2.473161220550537	True
