	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	6.33009157081445	6.446471129854521	-0.11637955904007047	True
1	google-bert/bert-base-multilingual-cased	2	6.127960567673047	6.29873081545035	-0.17077024777730276	True
2	google-bert/bert-base-multilingual-cased	3	6.3602294375499095	6.745199948549271	-0.3849705109993611	True
3	google-bert/bert-base-multilingual-cased	4	6.10499487320582	6.273119966189066	-0.16812509298324585	True
4	google-bert/bert-base-multilingual-cased	5	6.066939984758695	5.912450412909189	0.1544895718495054	False
5	google-bert/bert-base-multilingual-cased	6	6.673637837171555	7.2126173724730815	-0.538979535301527	True
6	google-bert/bert-base-multilingual-cased	7	6.350894729296367	6.48421716193358	-0.13332243263721377	True
7	google-bert/bert-base-multilingual-cased	8	8.117762565612793	8.018148457010588	0.09961410860220532	False
8	google-bert/bert-base-multilingual-cased	9	7.410549988349279	7.935248548785846	-0.5246985604365664	True
9	google-bert/bert-base-multilingual-cased	10	8.285127302010855	8.451584967474142	-0.16645766546328744	True
10	google-bert/bert-base-multilingual-cased	11	7.836577412982782	7.958905090888342	-0.12232767790555954	True
11	google-bert/bert-base-multilingual-cased	12	7.880086434384187	7.788143108288447	0.09194332609573941	False
12	google-bert/bert-base-multilingual-cased	13	8.099898934364319	8.306863089402517	-0.20696415503819843	True
13	google-bert/bert-base-multilingual-cased	14	8.04577442506949	8.263640796144804	-0.21786637107531348	True
14	google-bert/bert-base-multilingual-cased	15	6.487849056720734	6.710677653551102	-0.22282859683036804	True
15	google-bert/bert-base-multilingual-cased	16	6.38671058913072	6.685177221894264	-0.2984666327635441	True
16	google-bert/bert-base-multilingual-cased	17	6.629359520971775	6.96627681950728	-0.33691729853550534	True
17	google-bert/bert-base-multilingual-cased	18	6.490807180603346	6.864821801582972	-0.3740146209796258	True
18	google-bert/bert-base-multilingual-cased	19	6.271767437458038	6.227495064338048	0.04427237311999033	False
19	google-bert/bert-base-multilingual-cased	20	6.624289333820343	7.123094027241072	-0.49880469342072864	True
20	google-bert/bert-base-multilingual-cased	21	6.474650964140892	6.766297231117885	-0.2916462669769926	True
21	google-bert/bert-base-multilingual-cased	22	6.179366012414296	6.489007917543252	-0.30964190512895584	True
22	google-bert/bert-base-multilingual-cased	23	5.827918021629254	6.158050601681073	-0.3301325800518189	True
23	google-bert/bert-base-multilingual-cased	24	6.325815847764413	6.580418250213067	-0.2546024024486542	True
24	google-bert/bert-base-multilingual-cased	25	5.966578837484121	6.226060933123032	-0.25948209563891034	True
25	google-bert/bert-base-multilingual-cased	26	5.987406837443511	5.890105590224266	0.09730124721924494	False
26	google-bert/bert-base-multilingual-cased	27	6.480308855573336	6.810592710971832	-0.3302838553984966	True
27	google-bert/bert-base-multilingual-cased	28	6.154369725535314	6.428110936035712	-0.2737412105003987	True
28	google-bert/bert-base-multilingual-cased	29	6.891796559095383	7.095757156610489	-0.2039605975151062	True
29	google-bert/bert-base-multilingual-cased	30	6.7653979659080505	6.973457316557567	-0.20805935064951608	True
30	google-bert/bert-base-multilingual-cased	31	7.173996537923813	7.611837784449259	-0.437841246525446	True
31	google-bert/bert-base-multilingual-cased	32	6.8531222095092135	7.022365709145864	-0.16924349963665097	True
32	google-bert/bert-base-multilingual-cased	33	6.79049435754617	6.647317002216975	0.14317735532919507	False
33	google-bert/bert-base-multilingual-cased	34	6.9881240129470825	7.4622997641563416	-0.47417575120925903	True
34	google-bert/bert-base-multilingual-cased	35	7.037273282806078	7.100228826204936	-0.062955543398858	True
35	google-bert/bert-base-multilingual-cased	36	6.377916281421979	6.426048303643863	-0.04813202222188373	True
36	google-bert/bert-base-multilingual-cased	37	6.127711653709412	6.200402384003003	-0.07269073029359152	True
37	google-bert/bert-base-multilingual-cased	38	6.508385241031647	6.839277570446332	-0.33089232941468527	True
38	google-bert/bert-base-multilingual-cased	39	6.102968608339628	6.350858926773071	-0.2478903184334431	True
39	google-bert/bert-base-multilingual-cased	40	6.09746972223123	5.961839149395625	0.13563057283560465	False
40	google-bert/bert-base-multilingual-cased	41	6.271440039078395	6.816144039233526	-0.5447040001551313	True
41	google-bert/bert-base-multilingual-cased	42	6.453569337725639	6.563760404785474	-0.1101910670598345	True
42	google-bert/bert-base-multilingual-cased	43	6.4145709325869875	6.693221032619476	-0.2786501000324888	True
43	google-bert/bert-base-multilingual-cased	44	6.303052112460136	6.590461721022924	-0.28740960856278797	True
44	google-bert/bert-base-multilingual-cased	45	6.537964647014936	6.8630634397268295	-0.3250987927118931	True
45	google-bert/bert-base-multilingual-cased	46	6.2632184376319255	6.509592240055403	-0.24637380242347717	True
46	google-bert/bert-base-multilingual-cased	47	6.237013295292854	6.230222711960475	0.006790583332379363	False
47	google-bert/bert-base-multilingual-cased	48	6.543052017688751	6.944202125072479	-0.401150107383728	True
48	google-bert/bert-base-multilingual-cased	49	6.3995001912117	6.643965994318327	-0.24446580310662647	True
49	google-bert/bert-base-multilingual-cased	50	6.587055767575899	6.97765651345253	-0.39060074587663074	True
50	google-bert/bert-base-multilingual-cased	51	6.45941140751044	6.881514087319374	-0.42210267980893423	True
51	google-bert/bert-base-multilingual-cased	52	6.649692590037982	7.146111105879148	-0.4964185158411665	True
52	google-bert/bert-base-multilingual-cased	53	6.5006823142369585	6.749877646565437	-0.2491953323284788	True
53	google-bert/bert-base-multilingual-cased	54	6.628004774451256	6.4988307009140645	0.12917407353719135	False
54	google-bert/bert-base-multilingual-cased	55	6.484062110384306	7.074402133623758	-0.5903400232394524	True
55	google-bert/bert-base-multilingual-cased	56	6.574342449506124	6.926866387327512	-0.35252393782138824	True
56	google-bert/bert-base-multilingual-cased	57	6.486130555470785	6.664381712675095	-0.1782511572043095	True
57	google-bert/bert-base-multilingual-cased	58	6.171229124069214	6.592219630877177	-0.42099050680796335	True
58	google-bert/bert-base-multilingual-cased	59	6.441082914670309	6.952991217374802	-0.5119083027044926	True
59	google-bert/bert-base-multilingual-cased	60	6.397956858078638	6.6141145924727125	-0.21615773439407437	True
60	google-bert/bert-base-multilingual-cased	61	6.464874307314554	6.403577784697215	0.0612965226173392	False
61	google-bert/bert-base-multilingual-cased	62	6.189633985360464	6.95989273985227	-0.770258754491806	True
62	google-bert/bert-base-multilingual-cased	63	6.451340854167938	6.769203861554463	-0.3178630073865252	True
63	google-bert/bert-base-multilingual-cased	64	6.782506833473842	7.044676582018535	-0.262169748544693	True
64	google-bert/bert-base-multilingual-cased	65	6.469454581538836	6.813296178976695	-0.34384159743785947	True
65	google-bert/bert-base-multilingual-cased	66	7.091068461537361	7.3864598125219345	-0.29539135098457336	True
66	google-bert/bert-base-multilingual-cased	67	6.664694676796595	6.869847317536672	-0.205152640740077	True
67	google-bert/bert-base-multilingual-cased	68	6.804336781303088	6.725106616814932	0.07923016448815634	False
68	google-bert/bert-base-multilingual-cased	69	6.783545980850855	7.915139655272165	-1.1315936744213104	True
69	google-bert/bert-base-multilingual-cased	70	6.935692643125852	7.200738996267319	-0.2650463531414671	True
70	google-bert/bert-base-multilingual-cased	71	5.930778861045837	6.091498007376989	-0.16071914633115192	True
71	google-bert/bert-base-multilingual-cased	72	5.746091812849045	5.820328136285146	-0.07423632343610098	True
72	google-bert/bert-base-multilingual-cased	73	6.041464577118555	6.12854810555776	-0.08708352843920508	True
73	google-bert/bert-base-multilingual-cased	74	5.653462370236714	5.802435706059138	-0.1489733358224239	True
74	google-bert/bert-base-multilingual-cased	75	5.7907718767722445	5.4467223435640335	0.34404953320821097	False
75	google-bert/bert-base-multilingual-cased	76	6.481100380420685	6.956951568524042	-0.47585118810335736	True
76	google-bert/bert-base-multilingual-cased	77	5.959301322698593	6.060084909200668	-0.1007835865020752	True
77	google-bert/bert-base-multilingual-cased	78	7.665751059850057	7.449213971694311	0.21653708815574557	False
78	google-bert/bert-base-multilingual-cased	79	7.304750978946686	7.328115652004878	-0.02336467305819223	True
79	google-bert/bert-base-multilingual-cased	80	8.048359404007593	7.727184196313223	0.32117520769437036	False
80	google-bert/bert-base-multilingual-cased	81	7.2971650908390675	7.06373338898023	0.23343170185883722	False
81	google-bert/bert-base-multilingual-cased	82	7.4913864235083265	7.074823478857676	0.4165629446506509	False
82	google-bert/bert-base-multilingual-cased	83	7.852008958657583	8.266629487276077	-0.4146205286184941	True
83	google-bert/bert-base-multilingual-cased	84	7.728583027919134	7.574282805124919	0.15430022279421518	False
84	google-bert/bert-base-multilingual-cased	85	6.072869002819061	6.20024241010348	-0.12737340728441904	True
85	google-bert/bert-base-multilingual-cased	86	5.863006427884102	6.050231168667476	-0.1872247407833738	True
86	google-bert/bert-base-multilingual-cased	87	6.301389147837957	6.335633814334869	-0.034244666496912046	True
87	google-bert/bert-base-multilingual-cased	88	5.971475377678871	6.160297920306523	-0.1888225426276522	True
88	google-bert/bert-base-multilingual-cased	89	5.789104739824931	5.5913852254549665	0.1977195143699646	False
89	google-bert/bert-base-multilingual-cased	90	6.405297314127286	6.732995917399724	-0.32769860327243805	True
90	google-bert/bert-base-multilingual-cased	91	6.0242438316345215	6.209632198015849	-0.1853883663813276	True
91	google-bert/bert-base-multilingual-cased	92	5.557101791103681	5.651395484805107	-0.09429369370142648	True
92	google-bert/bert-base-multilingual-cased	93	5.222127825021744	5.3904381555815535	-0.1683103305598097	True
93	google-bert/bert-base-multilingual-cased	94	5.759891293942928	5.782323124508063	-0.02243183056513498	True
94	google-bert/bert-base-multilingual-cased	95	5.300653881703814	5.476529361059269	-0.17587547935545533	True
95	google-bert/bert-base-multilingual-cased	96	5.311600350464384	4.997874079893032	0.31372627057135194	False
96	google-bert/bert-base-multilingual-cased	97	5.934941687931618	6.31745861719052	-0.38251692925890257	True
97	google-bert/bert-base-multilingual-cased	98	5.63303882504503	5.665877717236677	-0.032838892191647595	True
98	google-bert/bert-base-multilingual-cased	99	6.356784383455913	6.568092038234075	-0.21130765477816205	True
99	google-bert/bert-base-multilingual-cased	100	6.170422722895941	6.416996091604233	-0.24657336870829205	True
100	google-bert/bert-base-multilingual-cased	101	6.61464504400889	6.715080748001734	-0.10043570399284363	True
101	google-bert/bert-base-multilingual-cased	102	6.0901511907577515	6.160229275623958	-0.07007808486620615	True
102	google-bert/bert-base-multilingual-cased	103	6.212139676014583	6.008686463038127	0.2034532129764557	False
103	google-bert/bert-base-multilingual-cased	104	6.581532686948776	6.929409742355347	-0.34787705540657043	True
104	google-bert/bert-base-multilingual-cased	105	6.391019662221273	6.471388737360636	-0.08036907513936242	True
105	google-bert/bert-base-multilingual-cased	106	5.845672806104024	5.981632302204768	-0.1359594961007442	True
106	google-bert/bert-base-multilingual-cased	107	5.692612345019977	5.728354861338933	-0.03574251631895642	True
