	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	7.73010366410017	8.325109574198724	-0.5950059100985534	True
1	google-bert/bert-base-multilingual-cased	2	7.4262393446192485	8.020538633921674	-0.5942992893024259	True
2	google-bert/bert-base-multilingual-cased	3	8.647097826004028	9.060698020458222	-0.4136001944541938	True
3	google-bert/bert-base-multilingual-cased	4	6.3991045385599135	8.500116628408431	-2.101012089848518	True
4	google-bert/bert-base-multilingual-cased	5	6.366090464147363	8.37879630537006	-2.0127058412226964	True
5	google-bert/bert-base-multilingual-cased	6	7.9357437789440155	9.485643526911735	-1.5498997479677197	True
6	google-bert/bert-base-multilingual-cased	7	6.169500789046287	7.8176651924848555	-1.6481644034385683	True
7	google-bert/bert-base-multilingual-cased	8	6.127156184957351	7.550172037332121	-1.4230158523747702	True
8	google-bert/bert-base-multilingual-cased	9	7.947905623912812	9.02122366130352	-1.0733180373907079	True
9	google-bert/bert-base-multilingual-cased	10	9.542946124076844	9.661164158582688	-0.11821803450584412	True
10	google-bert/bert-base-multilingual-cased	11	8.895486577983045	9.03916856973074	-0.14368199174769458	True
11	google-bert/bert-base-multilingual-cased	12	10.111896538734436	10.286917424201965	-0.1750208854675286	True
12	google-bert/bert-base-multilingual-cased	13	7.359228429198265	7.785450452566147	-0.42622202336788195	True
13	google-bert/bert-base-multilingual-cased	14	6.96121708416324	7.310723088794035	-0.3495060046307943	True
14	google-bert/bert-base-multilingual-cased	15	8.573152327537537	8.451642179489136	0.12151014804840088	False
15	google-bert/bert-base-multilingual-cased	16	5.812732504308224	7.899454647302628	-2.086722142994404	True
16	google-bert/bert-base-multilingual-cased	17	6.04349927401858	7.8765848256220075	-1.8330855516034275	True
17	google-bert/bert-base-multilingual-cased	18	7.717684507369995	8.869116565585136	-1.151432058215141	True
18	google-bert/bert-base-multilingual-cased	19	6.1537175446748735	7.562613868713379	-1.4088963240385057	True
19	google-bert/bert-base-multilingual-cased	20	6.207814015812883	7.386038688269874	-1.1782246724569907	True
