	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	2.4479059411911295	3.2069313118855156	-0.7590253706943861	True
1	google-bert/bert-base-multilingual-cased	2	5.1067545166998	5.384677500153582	-0.27792298345378175	True
2	google-bert/bert-base-multilingual-cased	3	5.1776369955390695	6.177712017049393	-1.0000750215103231	True
3	google-bert/bert-base-multilingual-cased	4	4.185286626258555	4.858683380194836	-0.6733967539362808	True
4	google-bert/bert-base-multilingual-cased	5	4.660932038995353	5.038700493165489	-0.3777684541701367	True
5	google-bert/bert-base-multilingual-cased	6	2.7944862774340438	3.7266342490911484	-0.9321479716571046	True
6	google-bert/bert-base-multilingual-cased	7	5.164375975866009	5.50251740625956	-0.33814143039355127	True
7	google-bert/bert-base-multilingual-cased	8	4.951330205891281	5.8064100077996645	-0.8550798019083832	True
8	google-bert/bert-base-multilingual-cased	9	4.29676372407832	4.836863231638239	-0.5400995075599191	True
9	google-bert/bert-base-multilingual-cased	10	4.6356368042867295	5.00678681858787	-0.3711500143011408	True
10	google-bert/bert-base-multilingual-cased	11	2.041451737071232	2.659111259877682	-0.6176595228064499	True
11	google-bert/bert-base-multilingual-cased	12	4.15535325281046	4.9935437460166945	-0.8381904932062341	True
12	google-bert/bert-base-multilingual-cased	13	3.703695773395399	4.560919640523692	-0.857223867128293	True
13	google-bert/bert-base-multilingual-cased	14	3.4708271129121484	4.194626685645845	-0.723799572733697	True
14	google-bert/bert-base-multilingual-cased	15	3.813550333887564	4.221014602843559	-0.4074642689559953	True
15	google-bert/bert-base-multilingual-cased	16	2.9475200313609093	3.7517512982090317	-0.8042312668481224	True
16	google-bert/bert-base-multilingual-cased	17	5.102638766445495	5.4287089186168656	-0.32607015217137025	True
17	google-bert/bert-base-multilingual-cased	18	4.816259643808007	5.614133822576454	-0.7978741787684465	True
18	google-bert/bert-base-multilingual-cased	19	4.315775750204921	4.817273085109062	-0.5014973349041414	True
19	google-bert/bert-base-multilingual-cased	20	4.73186195506291	4.9934404166133115	-0.26157846155040154	True
20	google-bert/bert-base-multilingual-cased	21	2.1523638266604395	2.7611753130952517	-0.6088114864348122	True
21	google-bert/bert-base-multilingual-cased	22	4.013989857087533	4.639826936776647	-0.6258370796891137	True
22	google-bert/bert-base-multilingual-cased	23	3.7419404478122793	4.335264822095633	-0.5933243742833536	True
23	google-bert/bert-base-multilingual-cased	24	3.322283666813746	3.9376043629729085	-0.6153206961591624	True
24	google-bert/bert-base-multilingual-cased	25	3.6285561293815123	3.9072808610896272	-0.27872473170811496	True
25	google-bert/bert-base-multilingual-cased	26	2.67990080115851	3.3946865633130074	-0.7147857621544973	True
26	google-bert/bert-base-multilingual-cased	27	4.974233670229161	4.9918271269632015	-0.017593456734040558	True
27	google-bert/bert-base-multilingual-cased	28	4.613620744366199	5.089600491678963	-0.47597974731276427	True
28	google-bert/bert-base-multilingual-cased	29	4.00435861304868	4.303645930977331	-0.29928731792865104	True
29	google-bert/bert-base-multilingual-cased	30	4.197300066832792	4.473859952706279	-0.27655988587348723	True
30	google-bert/bert-base-multilingual-cased	31	2.236095825827215	2.5456421613693236	-0.30954633554210886	True
31	google-bert/bert-base-multilingual-cased	32	3.8809415626994994	4.519988753526748	-0.6390471908272488	True
32	google-bert/bert-base-multilingual-cased	33	3.452475088648498	4.0688991265992325	-0.6164240379507344	True
33	google-bert/bert-base-multilingual-cased	34	3.354274533430321	3.9255003999504776	-0.5712258665201566	True
34	google-bert/bert-base-multilingual-cased	35	3.4363955586132677	3.822615448949915	-0.38621989033664716	True
35	google-bert/bert-base-multilingual-cased	36	3.668512194789946	4.504573313891887	-0.8360611191019411	True
36	google-bert/bert-base-multilingual-cased	37	5.74333579507139	6.161405769504468	-0.41806997443307825	True
37	google-bert/bert-base-multilingual-cased	38	5.203210139740259	6.0315087752882395	-0.8282986355479807	True
38	google-bert/bert-base-multilingual-cased	39	4.5103388130664825	4.964141741394997	-0.4538029283285141	True
39	google-bert/bert-base-multilingual-cased	40	5.036943559619513	5.432567855117448	-0.3956242954979343	True
40	google-bert/bert-base-multilingual-cased	41	3.797241395432502	4.302137099703153	-0.5048957042706514	True
41	google-bert/bert-base-multilingual-cased	42	5.544825611291108	5.728247913040428	-0.18342230174931995	True
42	google-bert/bert-base-multilingual-cased	43	5.303811040893197	6.205352809031805	-0.9015417681386078	True
43	google-bert/bert-base-multilingual-cased	44	4.504601696713103	4.846779906087452	-0.3421782093743486	True
44	google-bert/bert-base-multilingual-cased	45	5.11869441582398	5.327214130510887	-0.2085197146869069	True
45	google-bert/bert-base-multilingual-cased	46	2.265974763571285	2.6696383436520894	-0.4036635800808046	True
46	google-bert/bert-base-multilingual-cased	47	4.150943647104281	4.841782976019506	-0.6908393289152253	True
47	google-bert/bert-base-multilingual-cased	48	3.9254234502092005	4.653350872049729	-0.7279274218405285	True
48	google-bert/bert-base-multilingual-cased	49	3.511861729616713	4.170457925854458	-0.6585961962377449	True
49	google-bert/bert-base-multilingual-cased	50	3.890670898285779	4.221320886955117	-0.3306499886693377	True
50	google-bert/bert-base-multilingual-cased	51	5.493600413065266	6.352035503144617	-0.8584350900793511	True
51	google-bert/bert-base-multilingual-cased	52	3.159889154926835	3.8222400184022263	-0.6623508634753912	True
52	google-bert/bert-base-multilingual-cased	53	5.792013636479775	6.039582289134462	-0.24756865265468697	True
53	google-bert/bert-base-multilingual-cased	54	4.281208627236386	4.55369735892975	-0.27248873169336374	True
54	google-bert/bert-base-multilingual-cased	55	5.263078972510994	5.436215948484217	-0.17313697597322353	True
55	google-bert/bert-base-multilingual-cased	56	5.491922716230706	6.506654895566128	-1.0147321793354225	True
56	google-bert/bert-base-multilingual-cased	57	3.171780823351582	3.9669531451848647	-0.7951723218332827	True
57	google-bert/bert-base-multilingual-cased	58	5.701109811042746	6.127196735598975	-0.42608692455622954	True
58	google-bert/bert-base-multilingual-cased	59	4.261534055666716	4.671108252848639	-0.40957419718192334	True
59	google-bert/bert-base-multilingual-cased	60	5.307549349218607	5.407244245832166	-0.0996948966135589	True
60	google-bert/bert-base-multilingual-cased	61	4.224230118682263	5.198202712392366	-0.9739725937101031	True
61	google-bert/bert-base-multilingual-cased	62	1.9605914681354384	2.6386666751641314	-0.6780752070286931	True
62	google-bert/bert-base-multilingual-cased	63	4.230330326370205	4.701759722997882	-0.471429396627677	True
63	google-bert/bert-base-multilingual-cased	64	3.1377133653696743	3.7235450755917667	-0.5858317102220925	True
64	google-bert/bert-base-multilingual-cased	65	4.212386713797847	4.253871358279139	-0.041484644481291966	True
65	google-bert/bert-base-multilingual-cased	66	5.187788931445943	6.0768477436569	-0.8890588122109575	True
66	google-bert/bert-base-multilingual-cased	67	3.3027811162804332	3.851261217923214	-0.5484801016427809	True
67	google-bert/bert-base-multilingual-cased	68	5.490577589927448	5.800635087752231	-0.31005749782478276	True
68	google-bert/bert-base-multilingual-cased	69	4.036070336107954	4.412982635877349	-0.376912299769395	True
69	google-bert/bert-base-multilingual-cased	70	5.125299677004417	5.033273553010076	0.09202612399434074	False
70	google-bert/bert-base-multilingual-cased	71	4.030458546071141	4.797861503782096	-0.7674029577109556	True
71	google-bert/bert-base-multilingual-cased	72	2.212414499503211	2.8504556864111996	-0.6380411869079885	True
72	google-bert/bert-base-multilingual-cased	73	3.9608069115352853	4.120435343693114	-0.1596284321578283	True
73	google-bert/bert-base-multilingual-cased	74	2.9692066667432133	3.4394120553677734	-0.47020538862456007	True
74	google-bert/bert-base-multilingual-cased	75	3.9979173892488085	3.9720239382237197	0.025893451025088776	False
75	google-bert/bert-base-multilingual-cased	76	5.267926424603772	6.069608637028271	-0.8016822124244989	True
76	google-bert/bert-base-multilingual-cased	77	3.3950215054113264	4.054805853113066	-0.65978434770174	True
77	google-bert/bert-base-multilingual-cased	78	5.491724475252408	5.663541793236854	-0.17181731798444666	True
78	google-bert/bert-base-multilingual-cased	79	3.870430652108608	4.276553008818265	-0.40612235670965724	True
79	google-bert/bert-base-multilingual-cased	80	5.029838730829458	4.963836529292166	0.06600220153729186	False
80	google-bert/bert-base-multilingual-cased	81	4.094021587046208	4.884961710483939	-0.7909401234377311	True
81	google-bert/bert-base-multilingual-cased	82	1.860526734473145	2.495755441777874	-0.6352287073047287	True
82	google-bert/bert-base-multilingual-cased	83	4.059327861811552	4.171584438153163	-0.11225657634161124	True
83	google-bert/bert-base-multilingual-cased	84	3.1015582774963346	3.6445601755245165	-0.5430018980281819	True
84	google-bert/bert-base-multilingual-cased	85	4.011982037872076	4.180371508436898	-0.16838947056482212	True
85	google-bert/bert-base-multilingual-cased	86	5.851317531670684	6.40393789002189	-0.5526203583512057	True
86	google-bert/bert-base-multilingual-cased	87	3.818604185376899	4.6952162566206725	-0.8766120712437737	True
87	google-bert/bert-base-multilingual-cased	88	5.850272796910118	6.110184124015548	-0.2599113271054305	True
88	google-bert/bert-base-multilingual-cased	89	4.404558495815956	4.722000713714144	-0.31744221789818816	True
89	google-bert/bert-base-multilingual-cased	90	5.529897325113415	5.384543467095742	0.14535385801767298	False
90	google-bert/bert-base-multilingual-cased	91	5.564226080560022	6.42369838334896	-0.8594723027889373	True
91	google-bert/bert-base-multilingual-cased	92	3.522233854460259	4.2353740462373635	-0.7131401917771045	True
92	google-bert/bert-base-multilingual-cased	93	5.835051479025019	6.141470799429549	-0.30641932040453046	True
93	google-bert/bert-base-multilingual-cased	94	4.852404262418999	5.095145560575253	-0.242741298156254	True
94	google-bert/bert-base-multilingual-cased	95	5.74527255234619	5.609058257875343	0.13621429447084665	False
95	google-bert/bert-base-multilingual-cased	96	4.414013613981229	5.152343582775858	-0.7383299687946288	True
96	google-bert/bert-base-multilingual-cased	97	2.163819158769911	2.918864146360041	-0.75504498759013	True
97	google-bert/bert-base-multilingual-cased	98	4.366886701986746	4.381866415479669	-0.01497971349292282	True
98	google-bert/bert-base-multilingual-cased	99	3.385266031618371	3.866931079463525	-0.48166504784515407	True
99	google-bert/bert-base-multilingual-cased	100	4.349710840483507	4.387296399939805	-0.03758555945629816	True
100	google-bert/bert-base-multilingual-cased	101	5.385403688810766	7.195338522084057	-1.8099348332732914	True
101	google-bert/bert-base-multilingual-cased	102	5.815288450051513	6.164603186236625	-0.34931473618511166	True
102	google-bert/bert-base-multilingual-cased	103	2.7188183097096044	3.7339137692586517	-1.0150954595490473	True
103	google-bert/bert-base-multilingual-cased	104	4.331455799893269	4.994974840639366	-0.6635190407460971	True
104	google-bert/bert-base-multilingual-cased	105	4.829543805257841	5.5170658510742765	-0.6875220458164355	True
105	google-bert/bert-base-multilingual-cased	106	4.909874460473657	6.357789175398648	-1.4479147149249911	True
106	google-bert/bert-base-multilingual-cased	107	5.138995969478317	5.646736332620666	-0.5077403631423492	True
107	google-bert/bert-base-multilingual-cased	108	3.1638153137857445	3.5454183283727616	-0.38160301458701706	True
108	google-bert/bert-base-multilingual-cased	109	3.9070688569788925	4.7724245633774744	-0.865355706398582	True
109	google-bert/bert-base-multilingual-cased	110	4.549415435557338	5.0198219004228255	-0.4704064648654871	True
110	google-bert/bert-base-multilingual-cased	111	3.9988020165512963	5.016849107729892	-1.018047091178596	True
111	google-bert/bert-base-multilingual-cased	112	4.237671323767346	5.197193567934274	-0.9595222441669282	True
112	google-bert/bert-base-multilingual-cased	113	1.6418951423373074	2.3513053833759234	-0.709410241038616	True
113	google-bert/bert-base-multilingual-cased	114	3.019833138497132	3.7537687305593863	-0.7339355920622541	True
114	google-bert/bert-base-multilingual-cased	115	3.456128258314548	4.053244161278461	-0.597115902963913	True
115	google-bert/bert-base-multilingual-cased	116	5.225160294212401	6.383221129576365	-1.1580608353639636	True
116	google-bert/bert-base-multilingual-cased	117	5.467386738259207	5.754258523746911	-0.28687178548770387	True
117	google-bert/bert-base-multilingual-cased	118	2.572700275311945	3.106892094918294	-0.5341918196063489	True
118	google-bert/bert-base-multilingual-cased	119	4.140425322189306	4.851034084735955	-0.7106087625466495	True
119	google-bert/bert-base-multilingual-cased	120	4.570779493247921	4.9408232877877625	-0.3700437945398418	True
120	google-bert/bert-base-multilingual-cased	121	3.945063542791952	4.781101124299068	-0.8360375815071164	True
121	google-bert/bert-base-multilingual-cased	122	3.7580976723003445	4.343816562495367	-0.5857188901950225	True
122	google-bert/bert-base-multilingual-cased	123	1.6530424066033447	2.02457118773018	-0.3715287811268355	True
123	google-bert/bert-base-multilingual-cased	124	2.7435567168027366	3.233192867625298	-0.4896361508225615	True
124	google-bert/bert-base-multilingual-cased	125	3.3934619204056533	3.6892126096468982	-0.2957506892412449	True
125	google-bert/bert-base-multilingual-cased	126	4.885960009787231	6.040484943365057	-1.154524933577826	True
126	google-bert/bert-base-multilingual-cased	127	5.014107680620833	5.089909086366081	-0.0758014057452483	True
127	google-bert/bert-base-multilingual-cased	128	2.8081758761632956	2.9260140214416124	-0.11783814527831682	True
128	google-bert/bert-base-multilingual-cased	129	3.7013152196951626	4.477186524516179	-0.775871304821016	True
129	google-bert/bert-base-multilingual-cased	130	4.386210886592215	4.647953105808207	-0.26174221921599194	True
130	google-bert/bert-base-multilingual-cased	131	3.5861751688023404	4.628125251146654	-1.041950082344314	True
131	google-bert/bert-base-multilingual-cased	132	3.8230215160659062	4.666805333112952	-0.8437838170470462	True
132	google-bert/bert-base-multilingual-cased	133	1.6322445045361138	2.007866974369002	-0.37562246983288805	True
133	google-bert/bert-base-multilingual-cased	134	2.858246396463882	3.5657810017776987	-0.7075346053138167	True
134	google-bert/bert-base-multilingual-cased	135	3.3194757364690304	3.7078949069096283	-0.3884191704405979	True
135	google-bert/bert-base-multilingual-cased	136	5.47823590785265	6.458123533024141	-0.9798876251714912	True
136	google-bert/bert-base-multilingual-cased	137	5.77881291301714	5.875265304378613	-0.09645239136147232	True
137	google-bert/bert-base-multilingual-cased	138	2.7999435283301866	3.362628402580352	-0.5626848742501656	True
138	google-bert/bert-base-multilingual-cased	139	4.382538830111217	4.915036014514044	-0.5324971844028266	True
139	google-bert/bert-base-multilingual-cased	140	4.8260632841424504	4.923585805195299	-0.09752252105284853	True
140	google-bert/bert-base-multilingual-cased	141	5.8462720808573065	6.718577332484226	-0.8723052516269192	True
141	google-bert/bert-base-multilingual-cased	142	6.375551224134311	6.285327281958113	0.09022394217619745	False
142	google-bert/bert-base-multilingual-cased	143	3.0843587469818887	4.098331355534416	-1.0139726085525274	True
143	google-bert/bert-base-multilingual-cased	144	4.965770438442834	5.285102861234918	-0.3193324227920842	True
144	google-bert/bert-base-multilingual-cased	145	5.75592126223174	6.172403709962964	-0.4164824477312239	True
145	google-bert/bert-base-multilingual-cased	146	4.259068613685668	5.177736246834199	-0.9186676331485311	True
146	google-bert/bert-base-multilingual-cased	147	4.1150633933850465	4.817339563293865	-0.7022761699088189	True
147	google-bert/bert-base-multilingual-cased	148	1.4668146801006514	2.0107834423562356	-0.5439687622555842	True
148	google-bert/bert-base-multilingual-cased	149	3.1678575154963053	3.7693253468411663	-0.6014678313448609	True
149	google-bert/bert-base-multilingual-cased	150	3.655700236389583	3.925175631531712	-0.26947539514212915	True
150	google-bert/bert-base-multilingual-cased	151	4.015754279189019	4.43717998245524	-0.4214257032662214	True
151	google-bert/bert-base-multilingual-cased	152	3.961753870967324	4.1698565948613435	-0.20810272389401963	True
152	google-bert/bert-base-multilingual-cased	153	4.139057759816448	4.126824658674498	0.012233101141950087	False
153	google-bert/bert-base-multilingual-cased	154	1.5932226149756215	1.770687027519844	-0.17746441254422263	True
154	google-bert/bert-base-multilingual-cased	155	4.179513136139856	3.9747361285755267	0.20477700756432915	False
155	google-bert/bert-base-multilingual-cased	156	4.120172090155797	4.44557738593883	-0.32540529578303357	True
