	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	7.271973519623279	7.200104605853558	0.0718689137697206	False
1	google-bert/bert-base-multilingual-cased	2	7.750157199054956	7.857356470227242	-0.107199271172286	True
2	google-bert/bert-base-multilingual-cased	3	5.330476135611534	5.292647254168988	0.0378288814425467	False
3	google-bert/bert-base-multilingual-cased	4	6.848370470205943	8.063894865910212	-1.2155243957042696	True
4	google-bert/bert-base-multilingual-cased	5	5.976777614156405	6.927550259828567	-0.9507726456721617	True
5	google-bert/bert-base-multilingual-cased	6	6.020790913701058	8.68322609424591	-2.6624351805448523	True
6	google-bert/bert-base-multilingual-cased	7	8.625826727151871	9.137017313241959	-0.5111905860900876	True
7	google-bert/bert-base-multilingual-cased	8	6.893288425753513	7.67827975163857	-0.7849913258850565	True
8	google-bert/bert-base-multilingual-cased	9	7.813858486364285	8.146357530653479	-0.33249904428919397	True
9	google-bert/bert-base-multilingual-cased	10	5.799421755174796	6.026906335453193	-0.22748458027839646	True
10	google-bert/bert-base-multilingual-cased	11	6.454674232105416	7.36173843925198	-0.907064207146564	True
11	google-bert/bert-base-multilingual-cased	12	6.100680997719367	6.983997188111147	-0.8833161903917794	True
12	google-bert/bert-base-multilingual-cased	13	5.815555067410072	8.456987291648984	-2.641432224238912	True
13	google-bert/bert-base-multilingual-cased	14	8.631890981197357	8.974417395343384	-0.34252641414602714	True
14	google-bert/bert-base-multilingual-cased	15	7.409354754835368	7.196488868296146	0.21286588653922234	False
15	google-bert/bert-base-multilingual-cased	16	7.009221386685968	7.012115093767643	-0.0028937070816752453	True
16	google-bert/bert-base-multilingual-cased	17	4.805683306157588	5.003984666913747	-0.198301360756159	True
17	google-bert/bert-base-multilingual-cased	18	5.283108459512393	5.962062904909253	-0.6789544453968599	True
18	google-bert/bert-base-multilingual-cased	19	4.5869923628618325	5.285245701173942	-0.6982533383121092	True
19	google-bert/bert-base-multilingual-cased	20	4.621704752445221	7.820812821909786	-3.1991080694645646	True
20	google-bert/bert-base-multilingual-cased	21	7.533068298995495	8.166808835789562	-0.6337405367940665	True
21	google-bert/bert-base-multilingual-cased	22	7.252964191709955	8.148674686650434	-0.895710494940479	True
22	google-bert/bert-base-multilingual-cased	23	7.739687886113922	7.799528670509656	-0.05984078439573448	True
23	google-bert/bert-base-multilingual-cased	24	5.629292165686687	5.975201130261024	-0.3459089645743374	True
24	google-bert/bert-base-multilingual-cased	25	6.164833434422811	6.965078419049581	-0.8002449846267696	True
25	google-bert/bert-base-multilingual-cased	26	5.573044158716996	6.274146105349064	-0.7011019466320674	True
26	google-bert/bert-base-multilingual-cased	27	5.313679021547237	8.15930545826753	-2.845626436720293	True
27	google-bert/bert-base-multilingual-cased	28	8.410792255103589	8.399243333935738	0.011548921167850779	False
28	google-bert/bert-base-multilingual-cased	29	7.938391697714105	7.525540531240404	0.41285116647370135	False
29	google-bert/bert-base-multilingual-cased	30	8.092970203030855	8.044238049387932	0.04873215364292349	False
30	google-bert/bert-base-multilingual-cased	31	5.814509046946963	5.769413881711662	0.04509516523530088	False
31	google-bert/bert-base-multilingual-cased	32	6.377237315128246	6.897016640317936	-0.5197793251896901	True
32	google-bert/bert-base-multilingual-cased	33	5.517793747658531	5.832237040853749	-0.31444329319521813	True
33	google-bert/bert-base-multilingual-cased	34	5.729338344372809	8.55945628637448	-2.8301179420016718	True
34	google-bert/bert-base-multilingual-cased	35	8.828074560053647	8.85368676044047	-0.025612200386822437	True
35	google-bert/bert-base-multilingual-cased	36	7.842597569357603	7.607498205155134	0.23509936420246902	False
36	google-bert/bert-base-multilingual-cased	37	7.624011491239071	7.541885115727783	0.08212637551128843	False
37	google-bert/bert-base-multilingual-cased	38	5.078143881683548	5.024298049559196	0.053845832124352455	False
38	google-bert/bert-base-multilingual-cased	39	6.325310945709546	7.454418670435746	-1.1291077247261994	True
39	google-bert/bert-base-multilingual-cased	40	5.4642641207079095	6.038077739750346	-0.5738136190424363	True
40	google-bert/bert-base-multilingual-cased	41	5.586148928254842	8.727394164688885	-3.1412452364340426	True
41	google-bert/bert-base-multilingual-cased	42	9.109667557999492	9.47530365228653	-0.3656360942870389	True
42	google-bert/bert-base-multilingual-cased	43	6.859834769666195	6.83198911756277	0.027845652103424712	False
43	google-bert/bert-base-multilingual-cased	44	6.7660485887527475	6.801996941715478	-0.03594835296273047	True
44	google-bert/bert-base-multilingual-cased	45	4.3379939782122765	4.525616235981385	-0.18762225776910846	True
45	google-bert/bert-base-multilingual-cased	46	5.301593467195829	6.025113520845771	-0.723520053649942	True
46	google-bert/bert-base-multilingual-cased	47	4.689233694945773	5.313984699547291	-0.6247510046015181	True
47	google-bert/bert-base-multilingual-cased	48	4.5475464265421035	7.567001325264573	-3.0194548987224694	True
48	google-bert/bert-base-multilingual-cased	49	7.573010153174399	7.8268825367093084	-0.25387238353490904	True
49	google-bert/bert-base-multilingual-cased	50	7.77799371495843	8.068282805085182	-0.29028909012675275	True
50	google-bert/bert-base-multilingual-cased	51	7.776688314378262	7.9156335724393525	-0.13894525806109037	True
51	google-bert/bert-base-multilingual-cased	52	5.632555476129054	5.730894199311733	-0.09833872318267822	True
52	google-bert/bert-base-multilingual-cased	53	6.01342350323995	6.801236038853725	-0.7878125356137753	True
53	google-bert/bert-base-multilingual-cased	54	5.489767755369345	6.205452612042427	-0.7156848566730813	True
54	google-bert/bert-base-multilingual-cased	55	5.333238191505274	8.262329258372386	-2.9290910668671124	True
55	google-bert/bert-base-multilingual-cased	56	8.137801709423462	8.184295565883318	-0.04649385645985582	True
56	google-bert/bert-base-multilingual-cased	57	7.414885786275069	7.800636173387369	-0.38575038711230025	True
57	google-bert/bert-base-multilingual-cased	58	7.531156615912915	7.6974576365947724	-0.16630102068185781	True
58	google-bert/bert-base-multilingual-cased	59	5.550654435654481	5.696137638986111	-0.14548320333163023	True
59	google-bert/bert-base-multilingual-cased	60	5.7709215234716735	6.672063068151473	-0.9011415446797999	True
60	google-bert/bert-base-multilingual-cased	61	5.351010839442411	6.322807044386863	-0.971796204944452	True
61	google-bert/bert-base-multilingual-cased	62	5.317954034209251	8.55886090144515	-3.2409068672359	True
62	google-bert/bert-base-multilingual-cased	63	8.053259914616742	8.23840869138638	-0.1851487767696387	True
63	google-bert/bert-base-multilingual-cased	64	6.937664632815867	6.9144109083712095	0.023253724444657564	False
64	google-bert/bert-base-multilingual-cased	65	7.214446284687146	7.254051792919635	-0.03960550823248887	True
65	google-bert/bert-base-multilingual-cased	66	4.543995754687737	4.775670932419598	-0.2316751777318613	True
66	google-bert/bert-base-multilingual-cased	67	5.672368909797321	6.2984521700690195	-0.6260832602716988	True
67	google-bert/bert-base-multilingual-cased	68	4.894276051456108	5.44719977385054	-0.5529237223944321	True
68	google-bert/bert-base-multilingual-cased	69	4.943512014104053	7.6282098140567545	-2.6846977999527013	True
69	google-bert/bert-base-multilingual-cased	70	8.179132952522487	7.978930756226182	0.20020219629630454	False
70	google-bert/bert-base-multilingual-cased	71	7.331357650756836	7.6935621851682665	-0.36220453441143086	True
71	google-bert/bert-base-multilingual-cased	72	8.087391885519029	8.372739103585483	-0.2853472180664536	True
72	google-bert/bert-base-multilingual-cased	73	5.842797251145045	5.601656418268879	0.24114083287616594	False
73	google-bert/bert-base-multilingual-cased	74	7.531836358557145	8.578012801210084	-1.0461764426529392	True
74	google-bert/bert-base-multilingual-cased	75	6.58698149755597	7.667412491639455	-1.0804309940834846	True
75	google-bert/bert-base-multilingual-cased	76	6.430756343901157	9.09988411307335	-2.669127769172192	True
76	google-bert/bert-base-multilingual-cased	77	8.910348743796348	9.291735023856162	-0.38138628005981445	True
77	google-bert/bert-base-multilingual-cased	78	7.4372682853819185	8.341240458215276	-0.9039721728333578	True
78	google-bert/bert-base-multilingual-cased	79	8.393239899029336	8.483051369140545	-0.0898114701112096	True
79	google-bert/bert-base-multilingual-cased	80	6.757221718709916	6.734383077273766	0.022838641436149665	False
80	google-bert/bert-base-multilingual-cased	81	6.891794890662036	7.690883321960767	-0.7990884312987312	True
81	google-bert/bert-base-multilingual-cased	82	6.574218872164687	7.415489432613055	-0.8412705604483675	True
82	google-bert/bert-base-multilingual-cased	83	6.245496705609063	8.677215888251862	-2.431719182642799	True
83	google-bert/bert-base-multilingual-cased	84	8.698182476187746	9.006905746956667	-0.3087232707689207	True
84	google-bert/bert-base-multilingual-cased	85	7.660011348873377	7.736168494969607	-0.07615714609622959	True
85	google-bert/bert-base-multilingual-cased	86	7.647904260158539	7.764648951888084	-0.11674469172954538	True
86	google-bert/bert-base-multilingual-cased	87	6.04284652095288	5.918850315113862	0.12399620583901783	False
87	google-bert/bert-base-multilingual-cased	88	6.442249186808864	6.996011751492818	-0.5537625646839546	True
88	google-bert/bert-base-multilingual-cased	89	5.689259591052929	6.258241052528223	-0.5689814614752935	True
89	google-bert/bert-base-multilingual-cased	90	5.59565502524376	8.464038551449775	-2.8683835262060153	True
90	google-bert/bert-base-multilingual-cased	91	8.122519990354776	8.459762894511224	-0.3372429041564473	True
91	google-bert/bert-base-multilingual-cased	92	7.63909710024794	8.321222144961357	-0.6821250447134171	True
92	google-bert/bert-base-multilingual-cased	93	8.182174931317567	8.185753122170766	-0.0035781908531991036	True
93	google-bert/bert-base-multilingual-cased	94	6.334314858416716	6.40235870430867	-0.06804384589195323	True
94	google-bert/bert-base-multilingual-cased	95	6.773195905387402	7.524209951559703	-0.7510140461723012	True
95	google-bert/bert-base-multilingual-cased	96	6.070317294498285	6.791599229772885	-0.7212819352746003	True
96	google-bert/bert-base-multilingual-cased	97	5.922645689348379	8.487323618928592	-2.5646779295802125	True
97	google-bert/bert-base-multilingual-cased	98	8.737778638005256	8.776665837367377	-0.038887199362120484	True
98	google-bert/bert-base-multilingual-cased	99	7.803092839196324	7.9521179923787715	-0.14902515318244713	True
