	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	4.172667860798538	5.10519991479814	-0.9325320539996023	True
1	google-bert/bert-base-multilingual-cased	2	5.776499179378152	6.860574496537447	-1.0840753171592956	True
2	google-bert/bert-base-multilingual-cased	3	5.276451217010617	6.919191520661116	-1.6427403036504984	True
3	google-bert/bert-base-multilingual-cased	4	6.110831820095579	8.065599863727888	-1.954768043632309	True
4	google-bert/bert-base-multilingual-cased	5	5.601926660165191	7.642414538810651	-2.04048787864546	True
5	google-bert/bert-base-multilingual-cased	6	5.598605810975035	7.475204508130749	-1.876598697155714	True
6	google-bert/bert-base-multilingual-cased	7	5.336557858934005	6.974868827189009	-1.6383109682550039	True
7	google-bert/bert-base-multilingual-cased	8	4.447648845054209	4.974544247612357	-0.5268954025581483	True
8	google-bert/bert-base-multilingual-cased	9	6.21599083095789	6.994472941756248	-0.7784821107983584	True
9	google-bert/bert-base-multilingual-cased	10	6.760379852354527	8.101486276090146	-1.341106423735619	True
10	google-bert/bert-base-multilingual-cased	11	6.598412359754245	8.203495234251022	-1.6050828744967776	True
11	google-bert/bert-base-multilingual-cased	12	6.0150823804239435	8.062944528957209	-2.047862148533265	True
12	google-bert/bert-base-multilingual-cased	13	6.644822318727772	8.410514817883572	-1.7656924991557998	True
13	google-bert/bert-base-multilingual-cased	14	6.179749008889	7.551683507859707	-1.371934498970707	True
14	google-bert/bert-base-multilingual-cased	15	4.781400156859308	5.080023880302906	-0.29862372344359756	True
15	google-bert/bert-base-multilingual-cased	16	5.758372082561254	6.771102553606033	-1.0127304710447786	True
16	google-bert/bert-base-multilingual-cased	17	6.435986138135195	7.56952586621046	-1.1335397280752657	True
17	google-bert/bert-base-multilingual-cased	18	6.138119114562869	7.696441022058328	-1.5583219074954586	True
18	google-bert/bert-base-multilingual-cased	19	6.0630571488291025	7.716167865941922	-1.6531107171128196	True
19	google-bert/bert-base-multilingual-cased	20	6.11789277382195	7.649957993378242	-1.5320652195562916	True
20	google-bert/bert-base-multilingual-cased	21	5.984708517168959	7.302245031421383	-1.3175365142524242	True
21	google-bert/bert-base-multilingual-cased	22	2.6719788252686465	3.542068057631453	-0.8700892323628064	True
22	google-bert/bert-base-multilingual-cased	23	4.485026167084774	5.720947465052207	-1.2359212979674332	True
23	google-bert/bert-base-multilingual-cased	24	5.0459357465306915	6.333569299181303	-1.287633552650611	True
24	google-bert/bert-base-multilingual-cased	25	5.07005322807365	6.857975222998196	-1.7879219949245453	True
25	google-bert/bert-base-multilingual-cased	26	4.640161307528615	6.649005563308795	-2.00884425578018	True
26	google-bert/bert-base-multilingual-cased	27	5.570696299895644	7.481743925975429	-1.9110476260797844	True
27	google-bert/bert-base-multilingual-cased	28	4.980963508081104	6.6934970282018185	-1.7125335201207141	True
28	google-bert/bert-base-multilingual-cased	29	4.704943002108484	5.541947744973004	-0.8370047428645195	True
29	google-bert/bert-base-multilingual-cased	30	6.633958926051855	7.55480740070343	-0.9208484746515744	True
30	google-bert/bert-base-multilingual-cased	31	6.345547937601805	7.8652339316904545	-1.5196859940886496	True
31	google-bert/bert-base-multilingual-cased	32	6.545516087363164	8.376490361988544	-1.8309742746253805	True
32	google-bert/bert-base-multilingual-cased	33	6.349547592612605	8.384246109674374	-2.034698517061769	True
33	google-bert/bert-base-multilingual-cased	34	6.40734925866127	8.13959183047215	-1.7322425718108807	True
34	google-bert/bert-base-multilingual-cased	35	6.047821297620733	7.512523119648297	-1.464701822027564	True
35	google-bert/bert-base-multilingual-cased	36	3.5309818310663106	4.1850038290023805	-0.65402199793607	True
36	google-bert/bert-base-multilingual-cased	37	5.776219034940004	6.473200550675392	-0.6969815157353878	True
37	google-bert/bert-base-multilingual-cased	38	5.480995742231608	6.583002495765686	-1.102006753534078	True
38	google-bert/bert-base-multilingual-cased	39	5.999607894569635	7.520607928435008	-1.5210000338653726	True
39	google-bert/bert-base-multilingual-cased	40	5.560416967918475	7.175090789794922	-1.6146738218764467	True
40	google-bert/bert-base-multilingual-cased	41	5.753440743933122	7.304326685766379	-1.5508859418332577	True
41	google-bert/bert-base-multilingual-cased	42	5.818674013018608	7.114119008183479	-1.2954449951648712	True
42	google-bert/bert-base-multilingual-cased	43	2.9492800476029517	3.628103310056031	-0.6788232624530792	True
43	google-bert/bert-base-multilingual-cased	44	4.766548844054341	5.577356939017773	-0.8108080949634315	True
44	google-bert/bert-base-multilingual-cased	45	5.471085004881024	6.5360522955656055	-1.0649672906845815	True
45	google-bert/bert-base-multilingual-cased	46	5.373501753434539	7.082910823325316	-1.7094090698907776	True
46	google-bert/bert-base-multilingual-cased	47	4.824691915263732	6.772498435030381	-1.9478065197666492	True
47	google-bert/bert-base-multilingual-cased	48	5.28408965965112	6.959549418340127	-1.6754597586890068	True
48	google-bert/bert-base-multilingual-cased	49	5.154169332236052	6.5487395487725735	-1.394570216536522	True
49	google-bert/bert-base-multilingual-cased	50	2.6145597205497326	3.623593428668877	-1.0090337081191443	True
50	google-bert/bert-base-multilingual-cased	51	4.70912379908065	5.874389544626077	-1.1652657455454278	True
51	google-bert/bert-base-multilingual-cased	52	4.831312058741847	6.097166211903096	-1.2658541531612482	True
52	google-bert/bert-base-multilingual-cased	53	4.925913284222285	6.636576531661881	-1.7106632474395962	True
53	google-bert/bert-base-multilingual-cased	54	4.689084564439125	6.6587605083154315	-1.9696759438763065	True
54	google-bert/bert-base-multilingual-cased	55	4.79286242566175	6.649561999986569	-1.8566995743248196	True
55	google-bert/bert-base-multilingual-cased	56	4.4366850515620575	5.930320160670412	-1.4936351091083546	True
56	google-bert/bert-base-multilingual-cased	57	4.510229876544327	5.149445197451859	-0.6392153209075326	True
57	google-bert/bert-base-multilingual-cased	58	6.369453766942025	7.480901782214642	-1.1114480152726172	True
58	google-bert/bert-base-multilingual-cased	59	7.308239825069904	8.331092855334282	-1.0228530302643772	True
59	google-bert/bert-base-multilingual-cased	60	6.6398988123983145	8.128322266042233	-1.488423453643918	True
60	google-bert/bert-base-multilingual-cased	61	6.198366642619173	8.130405922730764	-1.9320392801115913	True
61	google-bert/bert-base-multilingual-cased	62	6.9933595644931	8.690375779444972	-1.697016214951872	True
62	google-bert/bert-base-multilingual-cased	63	6.573943591366212	7.959609665597479	-1.385666074231267	True
63	google-bert/bert-base-multilingual-cased	64	5.4088997925631705	5.827462508901954	-0.4185627163387835	True
64	google-bert/bert-base-multilingual-cased	65	7.094185405224562	8.05769677758217	-0.9635113723576074	True
65	google-bert/bert-base-multilingual-cased	66	7.672326331958175	8.579693961143494	-0.9073676291853197	True
66	google-bert/bert-base-multilingual-cased	67	7.131273502173523	8.673646431416273	-1.5423729292427497	True
67	google-bert/bert-base-multilingual-cased	68	6.436273965363701	8.25429688145717	-1.8180229160934696	True
68	google-bert/bert-base-multilingual-cased	69	7.349773554752271	8.907253236199418	-1.5574796814471474	True
69	google-bert/bert-base-multilingual-cased	70	6.986205569157996	8.228814476480085	-1.2426089073220892	True
70	google-bert/bert-base-multilingual-cased	71	5.268299171328545	6.488192149996758	-1.219892978668213	True
71	google-bert/bert-base-multilingual-cased	72	4.230154956877231	6.001002097129822	-1.7708471402525907	True
72	google-bert/bert-base-multilingual-cased	73	6.221988064050675	7.497449493408203	-1.2754614293575282	True
73	google-bert/bert-base-multilingual-cased	74	7.039255917072296	8.68814512093862	-1.6488892038663234	True
74	google-bert/bert-base-multilingual-cased	75	6.410748754938443	8.042310754458109	-1.6315619995196657	True
75	google-bert/bert-base-multilingual-cased	76	6.26749183734258	7.874773760636647	-1.6072819232940674	True
76	google-bert/bert-base-multilingual-cased	77	6.150155534346898	7.585652927557628	-1.4354973932107296	True
77	google-bert/bert-base-multilingual-cased	78	6.172654914855957	6.7425148516893385	-0.5698599368333817	True
78	google-bert/bert-base-multilingual-cased	79	5.34422000721097	6.550971007347107	-1.206751000136137	True
79	google-bert/bert-base-multilingual-cased	80	7.56185499727726	8.671056091785431	-1.1092010945081707	True
80	google-bert/bert-base-multilingual-cased	81	7.638784026106198	9.083140581846237	-1.4443565557400388	True
