	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	9.873093102659498	11.072606597627912	-1.1995134949684143	True
1	google-bert/bert-base-multilingual-cased	2	10.459605919463295	11.072606597627912	-0.6130006781646173	True
2	google-bert/bert-base-multilingual-cased	3	10.500727449144636	11.946553545338768	-1.445826096194132	True
3	google-bert/bert-base-multilingual-cased	4	10.731442161968776	11.946553545338768	-1.215111383369992	True
4	google-bert/bert-base-multilingual-cased	5	10.026924377395991	10.5715224111364	-0.5445980337404084	True
5	google-bert/bert-base-multilingual-cased	6	11.022180322025504	10.5715224111364	0.45065791088910423	False
6	google-bert/bert-base-multilingual-cased	7	10.078291222453117	11.118932584211942	-1.0406413617588246	True
7	google-bert/bert-base-multilingual-cased	8	10.899236387440137	11.118932584211942	-0.21969619677180496	True
8	google-bert/bert-base-multilingual-cased	9	9.511100245018799	10.675558740894001	-1.164458495875202	True
9	google-bert/bert-base-multilingual-cased	10	10.193012924066611	10.675558740894001	-0.48254581682738973	True
10	google-bert/bert-base-multilingual-cased	11	9.813106211168426	10.571369262678283	-0.7582630515098572	True
11	google-bert/bert-base-multilingual-cased	12	10.529958592993873	10.571369262678283	-0.041410669684410095	True
12	google-bert/bert-base-multilingual-cased	13	9.63336647621223	10.25298687177045	-0.6196203955582202	True
13	google-bert/bert-base-multilingual-cased	14	10.303768611380033	10.25298687177045	0.0507817396095831	False
14	google-bert/bert-base-multilingual-cased	15	8.407222030418259	9.463677204080991	-1.056455173662732	True
15	google-bert/bert-base-multilingual-cased	16	9.05773504929883	9.463677204080991	-0.40594215478216	True
16	google-bert/bert-base-multilingual-cased	17	8.896606930664607	9.987308161599296	-1.0907012309346893	True
17	google-bert/bert-base-multilingual-cased	18	9.267465089048658	9.987308161599296	-0.7198430725506384	True
18	google-bert/bert-base-multilingual-cased	19	9.023750308014097	9.535319021415143	-0.5115687134010454	True
19	google-bert/bert-base-multilingual-cased	20	9.963252084595817	9.535319021415143	0.42793306318067437	False
20	google-bert/bert-base-multilingual-cased	21	8.884566805901981	9.921039533757027	-1.0364727278550454	True
21	google-bert/bert-base-multilingual-cased	22	9.832747020891734	9.921039533757027	-0.0882925128652925	True
22	google-bert/bert-base-multilingual-cased	23	8.455911132640072	9.436958765433657	-0.9810476327935849	True
23	google-bert/bert-base-multilingual-cased	24	9.136133278232245	9.436958765433657	-0.30082548720141133	True
24	google-bert/bert-base-multilingual-cased	25	8.302018095340047	9.037687314408165	-0.735669219068118	True
25	google-bert/bert-base-multilingual-cased	26	8.986003335033145	9.037687314408165	-0.05168397937502078	True
26	google-bert/bert-base-multilingual-cased	27	8.418765334146363	9.428628179643836	-1.009862845497473	True
27	google-bert/bert-base-multilingual-cased	28	9.045456138040338	9.428628179643836	-0.3831720416034976	True
28	google-bert/bert-base-multilingual-cased	29	8.676542241658483	10.122100387300764	-1.4455581456422806	True
29	google-bert/bert-base-multilingual-cased	30	9.278577223420143	10.122100387300764	-0.8435231638806204	True
30	google-bert/bert-base-multilingual-cased	31	9.33571122799601	11.201673192637307	-1.865961964641297	True
31	google-bert/bert-base-multilingual-cased	32	9.674723974296025	11.201673192637307	-1.5269492183412812	True
32	google-bert/bert-base-multilingual-cased	33	10.012915547759759	10.62661827603976	-0.6137027282800016	True
33	google-bert/bert-base-multilingual-cased	34	10.9785258227161	10.62661827603976	0.3519075466763386	False
34	google-bert/bert-base-multilingual-cased	35	9.547067665628024	10.927679094885077	-1.380611429257053	True
35	google-bert/bert-base-multilingual-cased	36	10.589258359301656	10.927679094885077	-0.338420735583421	True
36	google-bert/bert-base-multilingual-cased	37	8.768902033035245	9.930600107514433	-1.1616980744791885	True
37	google-bert/bert-base-multilingual-cased	38	9.735557947485221	9.930600107514433	-0.19504216002921204	True
38	google-bert/bert-base-multilingual-cased	39	8.756175456302506	10.027405508926936	-1.2712300526244302	True
39	google-bert/bert-base-multilingual-cased	40	9.730531345520701	10.027405508926936	-0.29687416340623507	True
40	google-bert/bert-base-multilingual-cased	41	9.369952458356108	10.346358524901527	-0.9764060665454188	True
41	google-bert/bert-base-multilingual-cased	42	10.245937844472271	10.346358524901527	-0.10042068042925578	True
42	google-bert/bert-base-multilingual-cased	43	9.267720064946584	10.060412374990326	-0.7926923100437424	True
43	google-bert/bert-base-multilingual-cased	44	9.877102385674204	10.060412374990326	-0.18330998931612186	True
44	google-bert/bert-base-multilingual-cased	45	9.953457645007543	11.36011002744947	-1.4066523824419281	True
45	google-bert/bert-base-multilingual-cased	46	10.478622879300799	11.36011002744947	-0.8814871481486719	True
46	google-bert/bert-base-multilingual-cased	47	10.321031025477819	10.677456868546349	-0.3564258430685303	True
47	google-bert/bert-base-multilingual-cased	48	11.10433796331996	10.677456868546349	0.426881094773611	False
48	google-bert/bert-base-multilingual-cased	49	9.851210920583634	10.763841018080711	-0.9126300974970771	True
49	google-bert/bert-base-multilingual-cased	50	10.82988623210362	10.763841018080711	0.06604521402290864	False
50	google-bert/bert-base-multilingual-cased	51	9.19780222539391	10.045841876949583	-0.8480396515556734	True
51	google-bert/bert-base-multilingual-cased	52	10.104552064800545	10.045841876949583	0.058710187850962825	False
52	google-bert/bert-base-multilingual-cased	53	9.026703757899147	9.689608961343765	-0.6629052034446179	True
53	google-bert/bert-base-multilingual-cased	54	9.809536371912275	9.689608961343765	0.11992741056850953	False
54	google-bert/bert-base-multilingual-cased	55	9.595783919095993	10.068451430116381	-0.4726675110203882	True
55	google-bert/bert-base-multilingual-cased	56	10.399648083107811	10.068451430116381	0.3311966529914301	False
56	google-bert/bert-base-multilingual-cased	57	9.548123874834605	10.38055056120668	-0.8324266863720755	True
57	google-bert/bert-base-multilingual-cased	58	10.442183957568236	10.38055056120668	0.061633396361555626	False
58	google-bert/bert-base-multilingual-cased	59	9.884978183678218	10.913049289158412	-1.028071105480194	True
59	google-bert/bert-base-multilingual-cased	60	10.954124901975904	10.913049289158412	0.04107561281749206	False
60	google-bert/bert-base-multilingual-cased	61	10.142862503017698	10.365380410637174	-0.22251790761947632	True
61	google-bert/bert-base-multilingual-cased	62	11.277604158080761	10.365380410637174	0.912223747443587	False
62	google-bert/bert-base-multilingual-cased	63	10.047430926845186	10.59277873805591	-0.5453478112107248	True
63	google-bert/bert-base-multilingual-cased	64	11.179628748269307	10.59277873805591	0.5868500102133964	False
64	google-bert/bert-base-multilingual-cased	65	9.426429231429383	10.142735100306925	-0.7163058688775426	True
