	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	7.163072953621546	9.007859640178227	-1.8447866865566809	True
1	google-bert/bert-base-multilingual-cased	2	7.089995754793995	7.490768269768783	-0.40077251497478805	True
2	google-bert/bert-base-multilingual-cased	3	6.332260998409418	8.461673916805358	-2.12941291839594	True
3	google-bert/bert-base-multilingual-cased	4	7.962387246035395	8.41437356315908	-0.4519863171236844	True
4	google-bert/bert-base-multilingual-cased	5	5.886637031233737	7.774356049795946	-1.8877190185622092	True
5	google-bert/bert-base-multilingual-cased	6	5.836899983740989	6.335340216933262	-0.49844023319227304	True
6	google-bert/bert-base-multilingual-cased	7	5.458891953563407	7.116864847906288	-1.6579728943428806	True
7	google-bert/bert-base-multilingual-cased	8	6.670216543599963	7.050004973475422	-0.37978842987545924	True
8	google-bert/bert-base-multilingual-cased	9	5.62595488736406	7.492258940723592	-1.8663040533595323	True
9	google-bert/bert-base-multilingual-cased	10	5.870589731139175	6.419177665486045	-0.5485879343468705	True
10	google-bert/bert-base-multilingual-cased	11	5.062791806412861	6.804143850802489	-1.741352044389628	True
11	google-bert/bert-base-multilingual-cased	12	6.691938380915893	7.234248955268413	-0.5423105743525198	True
12	google-bert/bert-base-multilingual-cased	13	5.828840244384039	7.7379037851379024	-1.9090635407538636	True
13	google-bert/bert-base-multilingual-cased	14	5.463824345951989	5.9743118555772865	-0.5104875096252979	True
14	google-bert/bert-base-multilingual-cased	15	4.83610866910645	6.617635641779218	-1.7815269726727685	True
15	google-bert/bert-base-multilingual-cased	16	6.325189581939152	6.951233778681074	-0.6260441967419217	True
16	google-bert/bert-base-multilingual-cased	17	6.076187514483796	7.871146776979523	-1.794959262495727	True
17	google-bert/bert-base-multilingual-cased	18	5.853445816313892	6.395863640011243	-0.5424178236973516	True
18	google-bert/bert-base-multilingual-cased	19	5.100332419227233	6.929376216915747	-1.8290437976885139	True
19	google-bert/bert-base-multilingual-cased	20	6.547160371483881	6.883502751843826	-0.33634238035994546	True
20	google-bert/bert-base-multilingual-cased	21	5.897430823223354	7.766005530909058	-1.8685747076857036	True
21	google-bert/bert-base-multilingual-cased	22	5.70865948759352	6.312810675351925	-0.6041511877584052	True
22	google-bert/bert-base-multilingual-cased	23	5.179817200111713	7.043534320535227	-1.8637171204235141	True
23	google-bert/bert-base-multilingual-cased	24	6.680517227072934	7.126719967678322	-0.4462027406053881	True
24	google-bert/bert-base-multilingual-cased	25	6.790487250579255	8.93309875684125	-2.1426115062619955	True
25	google-bert/bert-base-multilingual-cased	26	7.002707429585003	7.604890793561935	-0.6021833639769323	True
26	google-bert/bert-base-multilingual-cased	27	6.383609640101592	8.574705140931266	-2.1910955008296744	True
27	google-bert/bert-base-multilingual-cased	28	8.064598362360682	8.471494138240814	-0.40689577588013215	True
28	google-bert/bert-base-multilingual-cased	29	6.740183392983107	8.40557024592445	-1.6653868529413423	True
29	google-bert/bert-base-multilingual-cased	30	6.787673533317589	7.157312586193993	-0.369639052876404	True
30	google-bert/bert-base-multilingual-cased	31	5.751422621664547	7.641117888192335	-1.889695266527788	True
31	google-bert/bert-base-multilingual-cased	32	7.313104241376832	7.918778363792669	-0.6056741224158371	True
32	google-bert/bert-base-multilingual-cased	33	6.5879009788235035	8.312432248677526	-1.7245312698540225	True
33	google-bert/bert-base-multilingual-cased	34	7.152845689938182	7.455054039046877	-0.3022083491086951	True
34	google-bert/bert-base-multilingual-cased	35	5.966857719989051	7.985239434809912	-2.018381714820861	True
35	google-bert/bert-base-multilingual-cased	36	7.727844217703456	8.140643718696776	-0.4127995009933194	True
36	google-bert/bert-base-multilingual-cased	37	5.932309787188258	7.688290420564868	-1.75598063337661	True
37	google-bert/bert-base-multilingual-cased	38	6.131192271464637	6.648785429164058	-0.5175931576994213	True
38	google-bert/bert-base-multilingual-cased	39	5.474513353691215	7.36104484221765	-1.886531488526435	True
39	google-bert/bert-base-multilingual-cased	40	6.980050501724085	7.398749640122766	-0.4186991383986811	True
40	google-bert/bert-base-multilingual-cased	41	8.018978307733224	9.794906729743593	-1.7759284220103684	True
41	google-bert/bert-base-multilingual-cased	42	8.089102242496752	8.50462840249141	-0.41552615999465736	True
42	google-bert/bert-base-multilingual-cased	43	7.195474041004975	9.019683661915007	-1.8242096209100316	True
43	google-bert/bert-base-multilingual-cased	44	9.07902288117579	9.604560663302738	-0.525537782126948	True
44	google-bert/bert-base-multilingual-cased	45	6.687228931912354	8.291827012296944	-1.6045980803845898	True
45	google-bert/bert-base-multilingual-cased	46	6.087966085722049	6.549828656904755	-0.46186257118270646	True
46	google-bert/bert-base-multilingual-cased	47	5.438037147922885	6.990050927425424	-1.5520137795025386	True
47	google-bert/bert-base-multilingual-cased	48	7.075300199467511	7.812739618654762	-0.7374394191872504	True
48	google-bert/bert-base-multilingual-cased	49	6.2503312508065605	7.859484674131852	-1.6091534233252913	True
49	google-bert/bert-base-multilingual-cased	50	5.923802781162695	6.113181739158574	-0.18937895799587956	True
50	google-bert/bert-base-multilingual-cased	51	5.000261239263983	6.429777933550732	-1.4295166942867494	True
51	google-bert/bert-base-multilingual-cased	52	7.2870309843371315	8.318727324495004	-1.0316963401578727	True
52	google-bert/bert-base-multilingual-cased	53	6.136452212929726	8.154916824329467	-2.0184646113997413	True
53	google-bert/bert-base-multilingual-cased	54	5.855657166313557	6.013747754551114	-0.15809058823755784	True
54	google-bert/bert-base-multilingual-cased	55	4.928762683201405	6.2600162355672735	-1.3312535523658688	True
55	google-bert/bert-base-multilingual-cased	56	7.023289345027435	7.990376562944481	-0.9670872179170455	True
56	google-bert/bert-base-multilingual-cased	57	6.733033895062926	8.081961788769279	-1.3489278937063531	True
57	google-bert/bert-base-multilingual-cased	58	6.385707501310944	6.70547715960891	-0.31976965829796633	True
58	google-bert/bert-base-multilingual-cased	59	5.525736684373224	6.747958392303969	-1.2222217079307454	True
59	google-bert/bert-base-multilingual-cased	60	6.871511491525564	7.427658510948753	-0.5561470194231886	True
60	google-bert/bert-base-multilingual-cased	61	6.45290630909204	8.251462104863354	-1.7985557957713132	True
61	google-bert/bert-base-multilingual-cased	62	5.885512695211219	6.174268523752246	-0.288755828541027	True
62	google-bert/bert-base-multilingual-cased	63	5.273490460040713	6.586288956620376	-1.3127984965796635	True
63	google-bert/bert-base-multilingual-cased	64	6.898637710782212	7.437721657633249	-0.5390839468510373	True
64	google-bert/bert-base-multilingual-cased	65	7.600766297917636	9.379926751057306	-1.7791604531396708	True
65	google-bert/bert-base-multilingual-cased	66	7.552726775141699	7.800755648385911	-0.24802887324421174	True
66	google-bert/bert-base-multilingual-cased	67	6.645406987695466	8.138991744035767	-1.4935847563403009	True
67	google-bert/bert-base-multilingual-cased	68	8.618368106583754	8.960456729644822	-0.342088623061068	True
